CRP,idx_confirm,idx_ref
SC9280-040,1,OSM-n
SC9280-064,2,OSM-nr
SC9280-118,1,OSM-n
SC9280-157,1,OSM-n
SC9280-175,1,OSM-r
SC9280-177,1,OSM-n
SC9280-337,1,OSM-n
SC9280-340,1,OSM-r
SC9280-342,2,OSM-r
SC9280-367,1,OSM-n
SC9280-370,1,OSM-n
SC9280-388,1,OSM-r
SC9280-448,1,OSM-n
SC9280-478,1,OSM-n
SC9280-537,1,OSM-n
SC9280-902,1,OSM-n
SC9280-970,1,OSM-r
SC9281-066,1,OSM-n
SC9281-552,1,OSM-n
SC9283-018,1,OSM-r
SC9283-081,1,OSM-n
SC9283-105,1,OSM-n
SC9285-900,6,OSM-nr
SC9286-240,1,OSM-n
SC9287-630,1,OSM-r
SC9288-080,1,OSM-n
SC9288-385,1,OSM-n
SC9290-000,1,OSM-r
SC9293-899,5,OSM-nr
