CRP,idx_confirm,idx_ref
SC8101-000,4,OSM-r
SC8101-001,1,OSM-r
SC8101-010,1,OSM-r
SC8101-040,2,OSM-r
SC8101-050,4,OSM-r
SC8101-091,2,OSM-nr
SC8101-101,1,OSM-r
SC8101-150,1,OSM-r
SC8101-175,1,OSM-r
SC8101-200,1,OSM-r
SC8101-210,1,OSM-r
SC8101-250,1,OSM-r
SC8101-290,1,OSM-r
SC8101-300,4,OSM-r
SC8101-600,1,OSM-n
SC8102-090,1,OSM-r
SC8102-101,1,OSM-r
SC8102-130,1,OSM-n
SC8102-250,2,OSM-nr
SC8102-280,5,OSM-nr
SC8102-320,1,OSM-r
SC8102-400,1,OSM-r
SC8102-401,4,OSM-r
SC8102-450,1,OSM-r
SC8102-460,5,OSM-nr
SC8102-650,5,OSM-nr
SC8103-005,1,OSM-r
SC8103-010,1,OSM-r
SC8103-015,1,OSM-r
SC8103-043,1,OSM-r
SC8103-050,1,OSM-r
SC8103-445,1,OSM-r
SC8103-456,1,OSM-r
SC8103-460,1,OSM-r
SC8103-480,1,OSM-r
SC8103-482,1,OSM-r
SC8103-500,1,OSM-r
SC8103-600,3,OSM-nr
SC8103-901,1,OSM-r
SC8104-000,1,OSM-r
SC8104-400,1,OSM-r
SC8104-500,1,OSM-r
SC8104-540,1,OSM-r
SC8104-574,1,OSM-r
SC8104-710,1,OSM-r
SC8104-800,4,OSM-r
SC8104-810,1,OSM-r
SC8106-000,1,OSM-r
SC8106-010,1,OSM-r
SC8106-045,1,OSM-r
SC8106-100,4,OSM-r
SC8106-115,2,OSM-r
SC8106-260,1,OSM-r
SC8106-400,1,OSM-r
SC8106-500,2,OSM-nr
SC8106-501,5,OSM-nr
SC8106-517,1,OSM-r
SC8106-600,1,OSM-r
SC8107-050,2,OSM-r
SC8108-100,2,OSM-nr
SC8108-167,4,OSM-r
SC8108-500,1,OSM-r
SC8110-030,1,OSM-r
SC8110-110,5,OSM-nr
SC8110-603,2,OSM-r
SC8110-606,1,OSM-n
SC8110-624,1,OSM-n
SC8110-660,1,OSM-r
SC8110-690,1,OSM-r
SC8110-693,1,OSM-r
SC8110-695,1,OSM-r
SC8110-840,1,OSM-r
SC8110-975,1,OSM-r
SC8111-110,2,OSM-r
SC8111-370,1,OSM-r
SC8111-490,1,OSM-r
SC8111-500,1,OSM-r
SC8111-550,1,OSM-r
SC8113-000,1,OSM-r
SC8113-015,1,OSM-r
SC8113-250,1,OSM-r
SC8113-280,4,OSM-r
SC8113-290,1,OSM-r
SC8113-600,2,OSM-r
SC8113-650,1,OSM-r
SC8113-655,1,OSM-r
SC8113-848,2,OSM-r
SC8115-000,9,OSM-nr
SC8115-100,2,OSM-r
SC8115-350,1,OSM-r
SC8117-001,3,OSM-nr
SC8117-200,2,OSM-r
SC8117-290,4,OSM-r
SC8117-351,1,OSM-r
SC8117-400,1,OSM-r
SC8117-410,1,OSM-r
SC8117-700,1,OSM-r
SC8117-750,1,OSM-r
SC8117-900,1,OSM-r
SC8117-903,1,OSM-r
SC8117-907,1,OSM-r
SC8122-035,1,OSM-r
SC8122-200,1,OSM-n
SC8123-001,2,OSM-nr
SC8123-300,1,OSM-r
SC8130-310,1,OSM-r
