CRP,idx_confirm,idx_ref
SE000-000,2,OSM-nr
SE001-006,1,OSM-n
SE010-150,1,OSM-r
SE010-160,1,OSM-r
SE010-310,1,OSM-n
SE010-330,1,OSM-n
SE015-030,1,OSM-r
SE015-070,1,OSM-r
SE015-110,1,OSM-n
SE015-160,1,OSM-r
SE020-120,1,OSM-r
SE025-040,1,OSM-r
SE025-090,1,OSM-r
SE025-100,3,OSM-r
SE025-130,1,OSM-r
SE025-620,2,OSM-r
SE025-690,2,OSM-r
SE026-010,1,OSM-r
SE030-000,1,OSM-r
SE030-100,1,OSM-n
SE030-150,1,OSM-n
SE030-833,1,OSM-r
SE032-350,1,OSM-r
SE032-490,1,OSM-r
SE035-000,1,OSM-r
SE035-240,1,OSM-r
SE035-660,2,OSM-n
SE035-690,2,OSM-r
SE035-730,4,OSM-r
SE036-190,1,OSM-r
SE037-475,1,OSM-r
SE037-580,1,OSM-r
SE038-815,1,OSM-n
SE042-190,1,OSM-r
SE042-210,1,OSM-r
SE042-230,1,OSM-r
SE042-842,2,OSM-r
SE045-250,3,OSM-nr
SE045-760,1,OSM-n
SE047-090,1,OSM-r
SE048-010,2,OSM-r
SE048-110,1,OSM-r
SE048-430,1,OSM-r
SE050-020,1,OSM-r
SE050-370,1,OSM-r
SE055-180,1,OSM-n
SE055-260,1,OSM-r
SE055-380,1,OSM-n
SE065-450,1,OSM-r
SE075-100,1,OSM-r
SE075-200,1,OSM-r
SE075-370,1,OSM-n
SE075-520,1,OSM-r
SE090-010,1,OSM-r
SE095-000,1,OSM-r
SE095-090,3,OSM-nr
SE095-100,1,OSM-r
SE095-300,1,OSM-n
SE095-793,1,OSM-r
SE095-818,1,OSM-r
SE096-277,1,OSM-n
SE096-291,2,OSM-r
SE097-580,2,OSM-n
