CRP,idx_confirm,idx_ref
SP3460-000,1,OSM-w
SP3465-060,1,OSM-r
SP3465-240,1,OSM-n
SP3465-279,1,OSM-r
SP3465-590,1,OSM-n
SP3465-600,1,OSM-n
SP3465-660,1,OSM-r
SP3465-680,1,OSM-r
SP3465-689,1,OSM-r
SP3466-000,1,OSM-r
SP3466-044,1,OSM-r
SP3466-290,1,OSM-r
SP3466-319,1,OSM-r
SP3467-080,1,OSM-r
SP3467-340,1,OSM-r
SP3467-708,1,OSM-r
SP3468-080,1,OSM-r
SP3469-111,2,OSM-r
SP3469-140,1,OSM-r
SP3469-262,1,OSM-n
SP3469-671,1,OSM-r
SP3469-786,1,OSM-r
SP3470-434,1,OSM-r
SP3471-200,1,OSM-r
SP3471-600,1,OSM-r
SP3472-020,1,OSM-r
SP3472-130,1,OSM-r
SP3472-250,1,OSM-r
SP3472-450,2,OSM-r
SP3473-090,1,OSM-r
SP3473-150,1,OSM-r
SP3473-200,1,OSM-r
SP3473-510,1,OSM-r
SP3474-446,1,OSM-r
SP3474-530,1,OSM-r
SP3475-010,3,OSM-nr
SP3475-404,1,OSM-r
SP3476-681,1,OSM-r
SP3477-020,1,OSM-r
SP3477-722,1,OSM-r
SP3478-090,1,OSM-r
SP3478-118,1,OSM-n
SP3478-295,1,OSM-r
SP3478-540,1,OSM-r
SP3478-570,1,OSM-r
SP3478-620,1,OSM-n
SP3478-640,1,OSM-r
SP3478-700,2,OSM-nr
SP3580-000,1,OSM-r
