CRP,idx_confirm,idx_ref
SP6010-000,1,OSM-r
SP6010-030,1,OSM-r
SP6010-070,2,OSM-r
SP6010-080,2,OSM-n
SP6010-090,1,OSM-r
SP6010-285,1,OSM-r
SP6010-620,1,OSM-r
SP6010-713,1,OSM-r
SP6011-058,1,OSM-n
SP6011-071,1,OSM-r
SP6012-190,1,OSM-r
SP6013-150,1,OSM-r
SP6013-230,1,OSM-n
SP6013-355,1,OSM-n
SP6013-680,1,OSM-r
SP6013-800,1,OSM-r
SP6015-085,1,OSM-r
SP6015-090,1,OSM-r
SP6015-100,1,OSM-n
SP6015-140,1,OSM-n
SP6015-244,1,OSM-n
SP6015-245,1,OSM-n
SP6015-270,1,OSM-r
SP6015-280,2,OSM-nr
SP6015-295,2,OSM-r
SP6015-303,1,OSM-n
SP6015-453,1,OSM-n
SP6015-460,1,OSM-r
SP6015-490,1,OSM-n
SP6015-495,1,OSM-r
SP6015-540,1,OSM-n
SP6016-005,1,OSM-n
SP6016-500,1,OSM-r
SP6018-000,5,OSM-nr
SP6018-555,1,OSM-r
SP6022-000,1,OSM-r
SP6022-500,1,OSM-r
SP6025-050,4,OSM-n
SP6025-335,1,OSM-n
SP6026-150,1,OSM-r
SP6026-180,1,OSM-r
SP6026-340,1,OSM-r
SP6050-480,1,OSM-r
SP6050-555,1,OSM-n
SP6050-590,1,OSM-r
SP6052-805,2,OSM-r
SP6055-000,1,OSM-r
SP6055-500,1,OSM-r
SP6056-050,1,OSM-r
SP6056-530,1,OSM-r
SP6056-600,1,OSM-r
SP6057-510,1,OSM-r
SP6057-740,1,OSM-r
SP6058-185,1,OSM-r
SP6070-260,1,OSM-r
SP6071-045,1,OSM-n
SP6071-340,1,OSM-r
SP6072-530,1,OSM-r
SP6075-050,1,OSM-r
SP6075-065,1,OSM-r
SP6075-090,1,OSM-r
SP6075-093,1,OSM-r
SP6075-097,1,OSM-r
SP6075-255,1,OSM-n
SP6075-415,2,OSM-r
SP6075-423,1,OSM-r
SP6075-435,1,OSM-r
SP6078-170,1,OSM-n
