CRP,idx_confirm,idx_ref
SP4800-005,4,OSM-r
SP4800-006,2,OSM-nr
SP4800-020,1,OSM-r
SP4800-030,1,OSM-r
SP4800-140,2,OSM-r
SP4800-200,1,OSM-r
SP4800-211,1,OSM-r
SP4800-240,1,OSM-r
SP4800-250,1,OSM-r
SP4800-350,1,OSM-r
SP4800-360,1,OSM-r
SP4800-390,2,OSM-r
SP4800-500,1,OSM-r
SP4800-580,4,OSM-r
SP4800-900,1,OSM-r
SP4801-000,2,OSM-r
SP4801-013,1,OSM-r
SP4801-018,1,OSM-r
SP4801-020,1,OSM-r
SP4801-030,1,OSM-n
SP4801-035,1,OSM-r
SP4801-040,2,OSM-r
SP4801-050,2,OSM-nr
SP4801-140,4,OSM-n
SP4801-148,1,OSM-n
SP4801-150,2,OSM-r
SP4801-180,1,OSM-r
SP4801-210,1,OSM-n
SP4801-250,2,OSM-r
SP4801-260,2,OSM-r
SP4801-290,1,OSM-r
SP4801-295,1,OSM-r
SP4801-300,2,OSM-r
SP4801-310,3,OSM-nr
SP4801-320,2,OSM-nr
SP4801-335,2,OSM-n
SP4801-340,2,OSM-r
SP4801-350,1,OSM-n
SP4801-360,3,OSM-nr
SP4801-380,1,OSM-n
SP4801-400,1,OSM-r
SP4801-405,4,OSM-r
SP4801-410,1,OSM-r
SP4801-425,1,OSM-r
SP4801-433,1,OSM-r
SP4801-450,5,OSM-nr
SP4801-494,1,OSM-r
SP4801-500,1,OSM-r
SP4801-534,4,OSM-r
SP4801-600,1,OSM-r
SP4801-719,2,OSM-r
SP4801-786,1,OSM-r
SP4801-788,1,OSM-r
SP4801-794,1,OSM-r
SP4801-901,1,OSM-r
SP4801-902,1,OSM-r
SP4801-903,1,OSM-n
SP4801-970,2,OSM-r
SP4802-000,1,OSM-w
SP4802-140,2,OSM-nw
SP4802-160,3,OSM-nr
SP4802-304,1,OSM-r
SP4802-330,2,OSM-r
SP4802-355,1,OSM-r
SP4802-402,1,OSM-n
SP4802-411,1,OSM-r
SP4802-412,1,OSM-r
SP4804-300,2,OSM-r
SP4804-322,1,OSM-r
SP4804-440,1,OSM-r
SP4804-700,1,OSM-r
SP4805-000,1,OSM-r
SP4805-142,1,OSM-r
SP4805-165,1,OSM-r
SP4805-263,1,OSM-n
SP4805-347,2,OSM-r
SP4806-155,2,OSM-r
SP4806-377,4,OSM-n
SP4806-467,2,OSM-nr
SP4806-488,1,OSM-r
SP4807-007,1,OSM-n
SP4807-120,1,OSM-r
SP4807-183,1,OSM-n
SP4807-186,1,OSM-n
SP4807-254,1,OSM-n
SP4808-000,2,OSM-r
SP4808-080,5,OSM-rw
SP4808-159,2,OSM-nr
SP4808-212,1,OSM-r
SP4808-223,2,OSM-r
SP4810-118,1,OSM-n
SP4810-142,1,OSM-r
SP4810-150,1,OSM-r
SP4810-165,1,OSM-r
SP4810-193,5,OSM-nr
SP4810-225,1,OSM-r
SP4810-500,1,OSM-n
SP4810-900,1,OSM-r
SP4811-380,1,OSM-r
SP4811-390,1,OSM-r
