CRP,idx_confirm,idx_ref
ZM6310-160,1,OSM-n
ZM6401-020,1,OSM-r
ZM6401-050,1,OSM-r
ZM6401-060,1,OSM-r
ZM6401-134,2,OSM-r
ZM6401-136,1,OSM-r
ZM6401-160,2,OSM-r
ZM6408-000,2,OSM-nr
ZM6410-335,1,OSM-r
ZM6411-330,5,OSM-rw
ZM6414-007,1,OSM-r
ZM6415-000,1,OSM-r
ZM6415-120,1,OSM-r
ZM6417-000,1,OSM-n
ZM6420-010,2,OSM-nr
ZM6420-130,2,OSM-r
ZM6420-250,1,OSM-r
ZM6420-450,1,OSM-r
ZM6422-020,1,OSM-r
ZM6433-200,1,OSM-n
ZM6440-100,1,OSM-r
ZM6449-000,4,OSM-r
ZM6449-110,1,OSM-r
ZM6454-000,2,OSM-nr
ZM6454-080,1,OSM-r
ZM6455-000,6,OSM-nr
ZM6460-120,2,OSM-nr
ZM6463-230,1,OSM-r
ZM6654-230,1,OSM-r
