CRP,idx_confirm,idx_ref
SP3010-041,1,OSM-n
SP3010-050,1,OSM-n
SP3010-141,1,OSM-n
SP3010-142,1,OSM-n
SP3010-201,1,OSM-n
SP3010-210,1,OSM-n
SP3012-000,1,OSM-n
SP3012-970,1,OSM-r
SP3013-070,1,OSM-n
SP3015-201,1,OSM-n
SP3015-904,1,OSM-n
SP3023-075,1,OSM-r
SP3024-045,2,OSM-nr
SP3024-100,1,OSM-r
SP3024-120,1,OSM-n
SP3024-160,1,OSM-r
SP3024-410,1,OSM-n
SP3024-411,1,OSM-n
SP3025-002,1,OSM-n
SP3025-050,1,OSM-r
SP3025-151,1,OSM-n
SP3025-152,1,OSM-n
SP3025-240,1,OSM-n
SP3025-320,1,OSM-r
SP3026-137,2,OSM-n
SP3030-100,1,OSM-n
SP3030-400,1,OSM-n
SP3030-405,1,OSM-n
SP3033-029,1,OSM-n
SP3033-050,1,OSM-n
SP3033-390,1,OSM-n
SP3035-000,1,OSM-r
SP3035-270,1,OSM-n
SP3035-680,1,OSM-r
SP3036-100,1,OSM-n
SP3036-210,1,OSM-r
SP3036-225,1,OSM-r
SP3036-902,1,OSM-n
SP3040-109,1,OSM-n
SP3040-565,1,OSM-n
SP3041-318,1,OSM-n
SP3041-670,2,OSM-n
SP3042-105,1,OSM-n
SP3042-846,1,OSM-n
SP3042-901,1,OSM-n
SP3043-810,1,OSM-n
SP3044-290,1,OSM-r
SP3045-603,1,OSM-r
SP3046-260,1,OSM-n
SP3046-355,1,OSM-n
SP3046-370,3,OSM-nr
SP3046-380,1,OSM-r
SP3046-540,1,OSM-n
SP3049-437,1,OSM-r
SP3050-014,1,OSM-r
SP3050-080,1,OSM-r
SP3050-089,1,OSM-n
SP3050-470,1,OSM-n
SP3052-550,1,OSM-r
SP3053-111,1,OSM-n
SP3053-631,1,OSM-r
SP3053-636,2,OSM-r
SP3054-000,1,OSM-r
SP3054-040,1,OSM-r
SP3054-105,1,OSM-r
SP3054-107,1,OSM-r
SP3054-412,1,OSM-r
SP3054-709,1,OSM-r
SP3056-300,1,OSM-r
SP3056-399,2,OSM-nr
SP3056-410,1,OSM-r
SP3056-450,1,OSM-r
SP3056-502,1,OSM-r
SP3056-636,1,OSM-n
SP3057-400,1,OSM-r
SP3057-424,2,OSM-nr
SP3057-535,1,OSM-r
SP3057-541,1,OSM-n
SP3057-545,1,OSM-r
SP3058-510,1,OSM-n
SP3058-533,2,OSM-r
SP3058-581,1,OSM-r
SP3059-648,1,OSM-r
SP3060-192,2,OSM-nr
SP3060-484,1,OSM-r
SP3060-646,2,OSM-r
SP3060-738,1,OSM-n
SP3060-800,1,OSM-n
SP3060-803,1,OSM-n
SP3060-830,1,OSM-r
SP3060-854,1,OSM-n
SP3060-871,1,OSM-n
SP3060-904,2,OSM-nr
SP3063-070,1,OSM-n
SP3064-180,1,OSM-r
SP3067-665,1,OSM-n
SP3068-010,1,OSM-n
SP3068-028,1,OSM-r
SP3068-103,1,OSM-r
SP3068-217,2,OSM-nr
SP3068-219,1,OSM-r
SP3068-605,1,OSM-r
SP3069-003,2,OSM-r
SP3069-096,2,OSM-nr
SP3069-099,2,OSM-r
SP3069-330,5,OSM-nr
SP3069-901,1,OSM-n
SP3070-026,1,OSM-n
SP3070-050,1,OSM-r
SP3070-052,1,OSM-r
SP3070-091,1,OSM-r
SP3070-115,1,OSM-r
SP3070-150,1,OSM-n
SP3070-172,1,OSM-r
SP3070-262,1,OSM-w
SP3070-293,1,OSM-n
SP3070-752,2,OSM-r
SP3070-903,1,OSM-r
SP3073-350,1,OSM-n
SP3075-460,1,OSM-r
SP3076-000,4,OSM-n
SP3076-011,1,OSM-n
SP3076-050,1,OSM-n
SP3076-410,1,OSM-r
SP3080-650,4,OSM-n
SP3080-655,1,OSM-r
SP3081-260,1,OSM-r
SP3082-015,1,OSM-r
SP3082-050,1,OSM-r
SP3082-470,1,OSM-r
SP3082-550,1,OSM-r
SP3083-851,1,OSM-r
SP3083-852,1,OSM-r
SP3083-854,1,OSM-n
SP3083-859,1,OSM-r
SP3083-872,1,OSM-r
SP3083-886,1,OSM-r
SP3083-896,1,OSM-r
SP3083-900,1,OSM-r
SP3083-970,4,OSM-n
SP3084-008,5,OSM-nr
SP3084-551,1,OSM-r
SP3084-643,1,OSM-r
SP3084-759,1,OSM-r
SP3085-350,1,OSM-r
SP3085-850,1,OSM-r
SP3086-902,2,OSM-n
SP3087-290,2,OSM-nr
SP3087-320,1,OSM-n
SP3087-510,1,OSM-n
SP3087-546,1,OSM-r
SP3087-549,1,OSM-n
SP3087-560,1,OSM-n
SP3087-606,1,OSM-n
SP3088-007,1,OSM-n
SP3088-010,1,OSM-n
SP3088-038,1,OSM-r
SP3088-110,1,OSM-r
SP3088-902,1,OSM-r
SP3089-500,1,OSM-r
SP3090-764,4,OSM-n
SP3090-840,1,OSM-n
SP3090-860,1,OSM-r
SP3091-132,1,OSM-r
SP3091-133,1,OSM-r
SP3091-134,1,OSM-r
SP3091-140,7,OSM-nr
SP3091-150,2,OSM-nr
SP3091-516,2,OSM-n
SP3092-305,2,OSM-nr
SP3092-340,1,OSM-n
SP3092-523,1,OSM-r
SP3097-113,1,OSM-r
SP3097-160,2,OSM-nr
SP3097-670,1,OSM-r
SP3098-321,1,OSM-n
SP3098-322,1,OSM-n
SP3098-325,1,OSM-r
SP3098-335,2,OSM-n
SP3100-408,1,OSM-n
SP3100-450,1,OSM-n
SP3105-822,1,OSM-n
SP3108-002,2,OSM-n
SP3190-000,1,OSM-n
