CRP,idx_confirm,idx_ref
ZM6310-300,2,OSM-r
ZM6310-380,2,OSM-n
ZM6310-390,4,OSM-r
ZM6311-000,2,OSM-r
ZM6311-030,1,OSM-r
ZM6315-170,1,OSM-r
ZM6320-290,2,OSM-nr
ZM6321-040,1,OSM-r
ZM6321-665,1,OSM-r
ZM6327-030,1,OSM-r
ZM6327-130,1,OSM-r
ZM6327-160,1,OSM-r
ZM6329-000,1,OSM-r
ZM6329-350,1,OSM-r
ZM6330-000,4,OSM-r
ZM6333-160,1,OSM-r
ZM6333-230,1,OSM-r
ZM6343-370,2,OSM-r
ZM6361-400,2,OSM-r
ZM6364-570,1,OSM-r
ZM6380-021,1,OSM-r
ZM6381-010,1,OSM-r
ZM6381-090,1,OSM-r
ZM6382-100,1,OSM-r
ZM6382-260,3,OSM-nr
ZM6386-040,2,OSM-r
ZM6390-070,1,OSM-r
ZM6397-070,2,OSM-nr
