CRP,idx_confirm,idx_ref
ZM6700-000,1,OSM-r
ZM6700-075,1,OSM-r
ZM6700-130,1,OSM-r
ZM6700-158,1,OSM-r
ZM6700-170,1,OSM-r
ZM6700-218,1,OSM-r
ZM6700-499,1,OSM-r
ZM6700-625,1,OSM-r
ZM6700-650,1,OSM-r
ZM6702-155,2,OSM-r
ZM6703-000,1,OSM-r
ZM6703-440,1,OSM-r
ZM6703-600,1,OSM-r
ZM6703-780,2,OSM-r
ZM6703-785,1,OSM-r
ZM6705-150,1,OSM-w
ZM6705-490,1,OSM-r
ZM6708-280,1,OSM-r
ZM6708-370,2,OSM-r
ZM6708-415,1,OSM-r
ZM6708-675,1,OSM-r
ZM6709-015,1,OSM-n
ZM6709-048,1,OSM-r
ZM6709-300,1,OSM-r
ZM6710-500,2,OSM-r
ZM6710-530,1,OSM-r
ZM6713-100,1,OSM-r
ZM6713-270,1,OSM-r
ZM6714-150,1,OSM-r
ZM6714-300,1,OSM-r
ZM6715-350,1,OSM-r
ZM6715-400,1,OSM-r
ZM6715-580,2,OSM-nr
ZM6715-660,2,OSM-nr
ZM6715-675,3,OSM-nr
ZM6715-708,4,OSM-n
ZM6715-760,1,OSM-r
ZM6715-780,1,OSM-r
ZM6716-130,1,OSM-r
ZM6716-140,1,OSM-n
ZM6716-520,2,OSM-r
ZM6716-530,2,OSM-nr
ZM6716-735,1,OSM-r
ZM6717-100,4,OSM-r
ZM6717-200,1,OSM-r
ZM6719-050,1,OSM-r
ZM6719-076,1,OSM-w
ZM6719-150,2,OSM-r
ZM6719-429,1,OSM-r
ZM6719-460,2,OSM-r
ZM6719-500,1,OSM-r
ZM6720-146,1,OSM-n
ZM6720-149,1,OSM-n
ZM6720-400,1,OSM-r
ZM6722-555,1,OSM-r
ZM6725-010,1,OSM-r
ZM6725-035,1,OSM-n
ZM6725-105,1,OSM-r
ZM6725-153,1,OSM-r
ZM6725-400,5,OSM-rw
ZM6726-452,1,OSM-r
ZM6726-466,1,OSM-r
ZM6727-186,1,OSM-r
ZM6727-187,1,OSM-r
ZM6727-188,1,OSM-r
