CRP,idx_confirm,idx_ref
ZM9851-550,1,OSM-r
ZM9891-000,1,OSM-r
ZM9891-001,2,OSM-r
ZM9910-720,2,OSM-r
ZM9910-760,1,OSM-r
ZM9911-020,2,OSM-nr
ZM9911-050,1,OSM-r
ZM9911-140,1,OSM-r
ZM9911-160,4,OSM-r
ZM9911-510,2,OSM-nr
ZM9911-550,1,OSM-r
ZM9911-630,1,OSM-n
ZM9912-010,2,OSM-r
ZM9920-070,1,OSM-r
ZM9920-140,1,OSM-n
ZM9920-550,1,OSM-r
ZM9920-570,2,OSM-r
ZM9920-578,1,OSM-r
ZM9920-579,1,OSM-n
ZM9920-610,1,OSM-n
ZM9920-650,1,OSM-r
ZM9930-270,2,OSM-nr
ZM9930-590,1,OSM-r
ZM9930-760,1,OSM-r
ZM9931-090,1,OSM-r
ZM9931-370,1,OSM-r
ZM9931-610,2,OSM-r
ZM9932-240,1,OSM-r
ZM9940-240,1,OSM-r
ZM9940-290,1,OSM-r
ZM9940-320,2,OSM-r
ZM9941-140,1,OSM-r
ZM9941-180,1,OSM-r
ZM9941-202,2,OSM-r
ZM9941-380,1,OSM-r
ZM9941-670,1,OSM-r
ZM9941-720,2,OSM-r
ZM9942-000,4,OSM-r
ZM9942-080,1,OSM-r
ZM9942-210,1,OSM-n
ZM9950-000,6,OSM-nr
ZM9950-020,2,OSM-nr
ZM9950-140,1,OSM-r
ZM9950-300,1,OSM-r
ZM9950-370,1,OSM-r
ZM9950-430,2,OSM-nr
ZM9950-461,2,OSM-nr
ZM9950-615,1,OSM-r
ZM9950-630,4,OSM-r
ZM9950-902,1,OSM-r
ZM9950-904,1,OSM-r
ZM9950-971,1,OSM-n
ZM9951-000,1,OSM-r
ZM9951-120,1,OSM-r
ZM9951-380,1,OSM-r
ZM9951-420,1,OSM-r
ZM9951-530,1,OSM-r
ZM9951-550,4,OSM-r
ZM9951-560,1,OSM-r
ZM9960-030,1,OSM-n
ZM9960-050,1,OSM-r
ZM9960-480,1,OSM-r
ZM9961-350,1,OSM-r
ZM9961-470,1,OSM-r
ZM9961-902,1,OSM-r
ZM9962-500,2,OSM-r
ZM9970-160,2,OSM-r
ZM9971-070,1,OSM-r
ZM9971-470,1,OSM-r
ZM9972-030,1,OSM-r
ZM9973-270,1,OSM-r
ZM9980-025,1,OSM-r
ZM9980-150,2,OSM-nr
ZM9980-550,1,OSM-r
ZM9980-720,1,OSM-r
ZM9990-080,1,OSM-r
ZM9990-245,1,OSM-r
ZM9991-000,2,OSM-nr
ZM9991-060,1,OSM-r
