CRP,idx_confirm,idx_ref
SP4400-110,1,OSM-n
SP4400-150,3,OSM-nr
SP4400-160,4,OSM-r
SP4400-180,1,OSM-r
SP4400-350,1,OSM-r
SP4400-410,1,OSM-n
SP4400-450,4,OSM-r
SP4400-500,8,OSM-nr
SP4400-520,9,OSM-nr
SP4400-630,2,OSM-r
SP4400-650,1,OSM-r
SP4400-670,10,OSM-nr
SP4400-710,1,OSM-n
SP4400-740,5,OSM-nr
SP4400-760,2,OSM-n
SP4401-080,1,OSM-r
SP4401-133,1,OSM-r
SP4401-229,6,OSM-nr
SP4401-263,1,OSM-r
SP4401-278,1,OSM-r
SP4402-010,2,OSM-r
SP4402-408,1,OSM-n
SP4403-785,6,OSM-r
SP4405-018,8,OSM-nr
SP4405-080,2,OSM-r
SP4405-090,11,OSM-nr
SP4405-094,6,OSM-r
SP4405-101,1,OSM-r
SP4405-102,6,OSM-r
SP4405-103,5,OSM-r
SP4405-106,5,OSM-nr
SP4405-107,6,OSM-nr
SP4405-130,2,OSM-n
SP4405-148,1,OSM-n
SP4405-196,5,OSM-r
SP4405-208,1,OSM-r
SP4405-212,1,OSM-r
SP4405-324,1,OSM-r
SP4405-333,1,OSM-r
SP4405-342,1,OSM-n
SP4405-347,1,OSM-n
SP4405-600,1,OSM-n
SP4406-300,1,OSM-r
SP4407-210,1,OSM-n
SP4407-400,2,OSM-nr
SP4409-003,4,OSM-r
SP4409-105,1,OSM-n
SP4409-170,3,OSM-nr
SP4409-338,1,OSM-r
SP4412-248,1,OSM-r
