CRP,idx_confirm,idx_ref
SP2500-000,1,OSM-r
SP2500-030,1,OSM-r
SP2500-050,1,OSM-n
SP2500-100,4,OSM-r
SP2500-160,1,OSM-r
SP2500-970,1,OSM-n
SP2501-050,1,OSM-n
SP2501-230,1,OSM-n
SP2501-290,1,OSM-r
SP2501-410,5,OSM-nr
SP2502-040,3,OSM-nr
SP2502-220,1,OSM-r
SP2502-230,2,OSM-r
SP2502-265,2,OSM-r
SP2502-380,1,OSM-r
SP2503-085,1,OSM-n
SP2503-770,3,OSM-nr
SP2504-290,1,OSM-r
SP2506-080,1,OSM-r
SP2508-010,2,OSM-r
SP2509-060,1,OSM-r
SP2511-280,1,OSM-n
SP2511-290,1,OSM-n
SP2511-330,1,OSM-r
SP2515-010,2,OSM-r
SP2515-025,1,OSM-r
SP2515-100,1,OSM-r
SP2515-320,1,OSM-r
SP2515-445,1,OSM-r
SP2515-455,2,OSM-r
SP2515-470,1,OSM-r
SP2515-475,1,OSM-r
SP2515-485,1,OSM-r
SP2515-490,4,OSM-r
SP2515-495,1,OSM-r
SP2515-560,1,OSM-n
SP2515-580,1,OSM-n
SP2515-610,1,OSM-r
SP2516-410,5,OSM-r
SP2516-630,1,OSM-r
SP2516-640,4,OSM-n
SP2516-660,1,OSM-r
SP2517-010,1,OSM-n
SP2517-040,1,OSM-r
SP2517-090,1,OSM-r
SP2517-120,2,OSM-nr
SP2517-410,1,OSM-r
SP2517-475,2,OSM-r
SP2522-190,1,OSM-r
SP2524-010,1,OSM-n
