CRP,idx_confirm,idx_ref
SP1410-001,1,OSM-r
SP1410-222,1,OSM-n
SP1420-000,1,OSM-r
SP1430-000,5,OSM-nr
SP1430-003,1,OSM-n
SP1430-005,1,OSM-n
SP1430-010,1,OSM-r
SP1431-070,1,OSM-r
SP1431-090,1,OSM-n
SP1431-100,1,OSM-r
SP1432-390,1,OSM-n
SP1432-502,1,OSM-r
SP1436-010,1,OSM-r
SP1440-001,1,OSM-r
SP1440-002,1,OSM-r
SP1440-003,2,OSM-r
SP1440-440,1,OSM-r
SP1440-530,1,OSM-n
SP1440-532,1,OSM-r
SP1441-070,1,OSM-r
SP1446-002,1,OSM-n
SP1450-001,1,OSM-r
SP1450-170,1,OSM-r
SP1495-015,1,OSM-r
SP1495-025,1,OSM-r
SP1495-040,1,OSM-n
SP1495-135,1,OSM-r
