CRP,idx_confirm,idx_ref
ZM7010-001,1,OSM-r
ZM7012-040,5,OSM-nr
ZM7013-020,1,OSM-r
ZM7013-100,1,OSM-r
ZM7020-091,1,OSM-n
ZM7020-320,1,OSM-r
ZM7021-000,1,OSM-r
ZM7022-030,1,OSM-r
ZM7023-000,1,OSM-n
ZM7023-022,1,OSM-n
ZM7023-070,2,OSM-r
ZM7024-000,1,OSM-n
ZM7024-020,1,OSM-r
ZM7025-000,3,OSM-nr
ZM7031-021,1,OSM-n
ZM7032-150,1,OSM-r
ZM7033-010,7,OSM-n
ZM7033-180,8,OSM-nr
ZM7033-181,2,OSM-n
ZM7034-080,1,OSM-r
ZM7034-090,1,OSM-r
ZM7034-900,1,OSM-r
ZM7034-913,1,OSM-n
ZM7040-010,1,OSM-r
ZM7041-020,1,OSM-r
ZM7041-030,1,OSM-r
ZM7042-000,3,OSM-nr
ZM7043-000,1,OSM-n
ZM7043-150,2,OSM-n
ZM7043-160,2,OSM-n
ZM7044-000,9,OSM-nr
ZM7044-020,1,OSM-r
ZM7044-140,2,OSM-r
ZM7050-000,1,OSM-r
ZM7050-250,4,OSM-n
ZM7053-171,1,OSM-r
ZM7055-000,3,OSM-nr
ZM7056-050,1,OSM-r
ZM7056-110,2,OSM-n
ZM7061-010,1,OSM-r
ZM7063-010,1,OSM-r
ZM7072-060,1,OSM-r
ZM7080-180,3,OSM-nw
ZM7081-060,1,OSM-r
ZM7081-120,1,OSM-r
ZM7083-030,1,OSM-r
ZM7084-203,1,OSM-r
ZM7085-340,1,OSM-r
ZM7090-230,2,OSM-r
ZM7091-000,2,OSM-r
ZM7091-151,1,OSM-r
ZM7095-010,1,OSM-r
ZM7095-150,2,OSM-r
ZM7096-000,3,OSM-nr
ZM7111-340,1,OSM-n
ZM7112-000,1,OSM-r
ZM7112-070,1,OSM-r
ZM7114-000,1,OSM-r
ZM7115-000,5,OSM-nr
ZM7123-190,1,OSM-r
ZM7130-000,4,OSM-r
ZM7130-430,1,OSM-r
ZM7131-270,1,OSM-r
ZM7132-410,1,OSM-r
ZM7132-550,1,OSM-r
ZM7135-154,1,OSM-r
ZM7135-250,1,OSM-r
ZM7135-407,1,OSM-r
ZM7135-450,1,OSM-r
ZM7140-130,2,OSM-nr
ZM7140-233,1,OSM-r
ZM7140-550,1,OSM-r
ZM7144-490,1,OSM-r
ZM7150-000,2,OSM-r
ZM7150-010,2,OSM-r
ZM7150-020,1,OSM-r
ZM7150-070,1,OSM-n
ZM7150-230,1,OSM-r
ZM7150-270,1,OSM-r
ZM7150-570,1,OSM-r
ZM7151-030,1,OSM-r
ZM7151-153,1,OSM-r
ZM7151-300,1,OSM-r
ZM7151-370,1,OSM-r
ZM7151-390,1,OSM-r
ZM7151-410,1,OSM-r
ZM7151-480,1,OSM-r
ZM7152-160,1,OSM-r
ZM7152-864,1,OSM-r
ZM7153-450,1,OSM-r
ZM7155-060,1,OSM-r
ZM7155-120,1,OSM-r
ZM7160-340,1,OSM-r
ZM7160-550,2,OSM-r
ZM7161-180,1,OSM-r
ZM7170-550,1,OSM-r
ZM7171-137,2,OSM-nr
ZM7173-370,1,OSM-r
ZM7173-380,1,OSM-r
ZM7174-040,1,OSM-n
ZM7174-530,1,OSM-r
ZM7175-000,2,OSM-r
ZM7175-130,1,OSM-r
ZM7175-420,1,OSM-w
ZM7175-490,1,OSM-r
ZM7176-180,1,OSM-r
ZM7176-200,1,OSM-r
ZM7176-280,5,OSM-n
ZM7178-360,2,OSM-r
ZM7178-450,1,OSM-r
ZM7179-000,1,OSM-n
ZM7179-550,1,OSM-r
ZM7180-000,1,OSM-n
ZM7180-041,1,OSM-r
ZM7180-230,1,OSM-r
ZM7183-500,1,OSM-r
ZM7190-000,1,OSM-r
ZM7190-012,4,OSM-r
ZM7190-017,1,OSM-r
ZM7190-029,2,OSM-r
ZM7190-100,3,OSM-rw
ZM7191-000,1,OSM-r
ZM7191-290,1,OSM-r
ZM7195-330,1,OSM-r
ZM7197-130,1,OSM-r
ZM7210-015,1,OSM-r
ZM7215-030,1,OSM-r
ZM7222-000,1,OSM-n
ZM7230-090,2,OSM-r
ZM7241-090,1,OSM-r
ZM7242-101,2,OSM-nr
ZM7243-100,2,OSM-r
ZM7243-340,1,OSM-r
ZM7243-550,1,OSM-r
ZM7244-010,1,OSM-r
ZM7244-020,1,OSM-r
ZM7244-023,1,OSM-r
ZM7244-460,1,OSM-r
ZM7250-060,1,OSM-r
ZM7252-000,1,OSM-r
ZM7252-312,1,OSM-r
ZM7260-070,1,OSM-r
ZM7260-220,1,OSM-r
ZM7262-560,1,OSM-n
ZM7263-000,3,OSM-nr
ZM7263-010,1,OSM-r
ZM7263-410,1,OSM-r
ZM7272-000,1,OSM-r
ZM7272-060,1,OSM-n
ZM7272-070,1,OSM-n
ZM8583-480,1,OSM-n
