CRP,idx_confirm,idx_ref
SP3183-080,1,OSM-r
SP3183-150,1,OSM-r
SP3183-312,1,OSM-r
SP3183-363,1,OSM-r
SP3183-590,1,OSM-r
SP3183-693,1,OSM-r
SP3183-723,1,OSM-r
SP3184-213,2,OSM-r
SP3184-470,1,OSM-r
SP3184-472,1,OSM-r
SP3184-494,1,OSM-r
SP3184-654,4,OSM-r
SP3184-680,1,OSM-r
SP3184-862,1,OSM-r
SP3184-990,1,OSM-r
SP3185-012,4,OSM-r
SP3185-081,1,OSM-r
SP3185-139,1,OSM-r
SP3185-150,1,OSM-r
SP3185-153,5,OSM-nr
SP3185-161,1,OSM-r
SP3185-320,2,OSM-nr
SP3185-480,4,OSM-r
SP3186-033,1,OSM-r
SP3186-051,1,OSM-r
SP3186-400,1,OSM-r
SP3186-493,1,OSM-r
SP3186-501,1,OSM-r
SP3186-523,1,OSM-r
SP3186-534,1,OSM-r
SP3187-112,1,OSM-r
SP3187-176,1,OSM-r
SP3188-022,1,OSM-r
SP3188-054,1,OSM-r
SP3188-242,1,OSM-r
SP3188-252,1,OSM-r
