CRP,idx_confirm,idx_ref
SP8026-390,1,OSM-n
SP8200-000,1,OSM-r
SP8200-003,1,OSM-r
SP8200-009,1,OSM-r
SP8200-014,1,OSM-n
SP8200-021,1,OSM-r
SP8200-090,1,OSM-r
SP8200-110,1,OSM-n
SP8200-160,4,OSM-r
SP8200-170,1,OSM-r
SP8200-180,1,OSM-n
SP8200-200,1,OSM-r
SP8200-230,1,OSM-n
SP8200-270,2,OSM-r
SP8200-358,5,OSM-nr
SP8200-420,1,OSM-n
SP8200-815,1,OSM-r
SP8200-970,1,OSM-r
SP8201-520,1,OSM-r
SP8201-600,1,OSM-r
SP8203-340,1,OSM-r
SP8205-300,1,OSM-r
SP8205-590,1,OSM-r
SP8205-600,1,OSM-r
SP8205-720,1,OSM-r
SP8206-420,1,OSM-r
SP8206-650,1,OSM-r
SP8206-800,4,OSM-r
SP8207-720,1,OSM-r
SP8208-080,2,OSM-r
SP8208-130,2,OSM-r
SP8209-170,1,OSM-n
SP8209-205,1,OSM-r
SP8209-290,1,OSM-r
SP8210-026,1,OSM-r
SP8211-265,2,OSM-r
SP8212-040,1,OSM-r
SP8212-198,2,OSM-r
SP8212-200,1,OSM-r
SP8213-270,1,OSM-r
SP8213-615,1,OSM-r
SP8214-385,1,OSM-r
SP8214-440,1,OSM-r
SP8214-500,2,OSM-r
SP8214-610,1,OSM-r
SP8215-250,1,OSM-r
SP8218-000,1,OSM-r
SP8220-180,1,OSM-r
