CRP,idx_confirm,idx_ref
ZM8570-002,1,OSM-n
ZM8570-007,1,OSM-r
ZM8570-050,1,OSM-r
ZM8570-290,1,OSM-r
ZM8570-310,1,OSM-r
ZM8571-020,1,OSM-n
ZM8572-000,1,OSM-r
ZM8572-430,1,OSM-r
ZM8572-700,1,OSM-r
ZM8573-000,1,OSM-r
ZM8573-070,2,OSM-r
ZM8573-090,1,OSM-r
ZM8573-100,1,OSM-r
ZM8573-640,1,OSM-r
ZM8574-060,1,OSM-r
ZM8574-310,1,OSM-r
ZM8575-200,1,OSM-r
ZM8575-430,1,OSM-r
ZM8576-000,4,OSM-r
ZM8576-015,1,OSM-r
ZM8576-070,1,OSM-r
ZM8576-150,1,OSM-r
ZM8576-310,1,OSM-r
ZM8577-000,1,OSM-r
ZM8577-770,1,OSM-r
ZM8579-590,1,OSM-r
ZM8580-030,1,OSM-r
ZM8580-230,1,OSM-r
ZM8580-400,2,OSM-r
ZM8582-110,1,OSM-r
ZM8583-630,1,OSM-r
ZM8583-680,1,OSM-r
ZM8584-584,1,OSM-r
ZM8588-110,1,OSM-r
ZM8588-630,1,OSM-r
ZM8589-000,1,OSM-r
ZM8589-009,1,OSM-r
ZM8589-030,1,OSM-r
ZM8590-500,1,OSM-r
ZM8592-140,1,OSM-r
ZM8592-510,1,OSM-r
ZM8593-120,1,OSM-r
ZM8594-100,1,OSM-r
ZM8594-270,1,OSM-r
ZM8596-830,2,OSM-rw
ZM8597-580,1,OSM-r
ZM8598-000,2,OSM-n
ZM8598-100,1,OSM-r
ZM8598-141,1,OSM-r
ZM8598-394,1,OSM-r
ZM8598-451,1,OSM-r
ZM8598-740,2,OSM-nr
ZM8598-790,1,OSM-r
ZM8599-015,1,OSM-r
ZM8599-020,2,OSM-r
ZM8599-030,1,OSM-r
ZM8599-220,1,OSM-r
ZM8599-280,1,OSM-r
ZM8599-330,1,OSM-r
ZM8599-370,1,OSM-n
