CRP,idx_confirm,idx_ref
SP3200-000,1,OSM-r
SP3201-000,2,OSM-n
SP3201-001,1,OSM-n
SP3201-004,1,OSM-r
SP3201-013,1,OSM-r
SP3201-049,1,OSM-r
SP3201-060,2,OSM-r
SP3201-160,1,OSM-r
SP3201-625,1,OSM-r
SP3201-670,1,OSM-r
SP3201-750,1,OSM-r
SP3201-769,1,OSM-r
SP3201-814,1,OSM-r
SP3201-820,1,OSM-r
SP3201-838,1,OSM-r
SP3201-843,1,OSM-r
SP3201-905,1,OSM-n
SP3201-970,1,OSM-r
SP3202-180,1,OSM-r
SP3202-451,1,OSM-r
SP3202-550,1,OSM-r
SP3202-610,1,OSM-r
SP3202-700,1,OSM-r
SP3202-710,1,OSM-r
SP3203-233,2,OSM-r
SP3203-280,1,OSM-n
SP3203-521,1,OSM-r
SP3203-625,1,OSM-r
SP3203-630,1,OSM-r
SP3205-000,4,OSM-r
SP3205-250,1,OSM-r
SP3205-260,2,OSM-r
SP3205-710,1,OSM-r
SP3206-475,1,OSM-r
SP3207-010,2,OSM-nr
SP3207-070,1,OSM-r
SP3207-080,1,OSM-r
SP3207-270,1,OSM-r
SP3207-420,1,OSM-r
SP3207-450,1,OSM-r
SP3208-032,1,OSM-n
SP3208-053,1,OSM-r
SP3208-056,3,OSM-nr
SP3208-200,4,OSM-r
SP3208-280,1,OSM-n
SP3208-283,1,OSM-r
SP3208-400,1,OSM-r
SP3209-090,2,OSM-r
SP3209-355,4,OSM-r
SP3209-430,6,OSM-nr
SP3209-500,2,OSM-r
SP3210-045,2,OSM-r
SP3210-090,1,OSM-r
SP3210-340,1,OSM-r
SP3210-600,1,OSM-r
SP3210-850,2,OSM-r
SP3211-000,1,OSM-r
SP3211-133,1,OSM-r
SP3211-140,1,OSM-r
SP3211-160,1,OSM-r
SP3211-235,1,OSM-r
SP3211-320,1,OSM-r
SP3211-410,1,OSM-r
SP3211-510,1,OSM-r
SP3211-534,1,OSM-w
SP3211-710,1,OSM-r
SP3211-745,4,OSM-r
SP3211-771,2,OSM-nr
SP3211-782,1,OSM-r
SP3212-010,1,OSM-r
SP3212-070,1,OSM-r
SP3212-200,1,OSM-r
SP3212-240,1,OSM-r
SP3212-241,1,OSM-r
SP3212-258,1,OSM-r
SP3212-260,1,OSM-r
SP3212-354,1,OSM-r
SP3212-410,1,OSM-r
SP3212-416,1,OSM-r
SP3212-439,1,OSM-r
SP3212-461,1,OSM-r
SP3212-590,2,OSM-r
SP3212-600,4,OSM-r
SP3213-245,1,OSM-w
SP3214-010,2,OSM-r
SP3214-130,1,OSM-r
SP3214-410,1,OSM-r
SP3214-525,1,OSM-r
SP3214-590,1,OSM-r
SP3214-593,1,OSM-r
SP3214-660,2,OSM-r
SP3214-670,2,OSM-rw
SP3214-717,4,OSM-r
SP3214-719,2,OSM-r
SP3214-788,1,OSM-r
SP3214-830,1,OSM-w
SP3214-890,1,OSM-r
SP3214-900,1,OSM-r
SP3215-011,1,OSM-r
SP3215-250,1,OSM-r
SP3215-275,2,OSM-r
SP3215-840,1,OSM-r
SP3215-900,1,OSM-r
SP3216-000,2,OSM-nr
SP3216-472,1,OSM-r
SP3216-479,1,OSM-r
SP3216-680,1,OSM-r
SP3216-724,1,OSM-r
SP3218-005,2,OSM-r
SP3218-030,1,OSM-r
SP3218-090,1,OSM-r
SP3218-233,1,OSM-r
SP3218-510,1,OSM-r
SP3218-659,1,OSM-r
SP3218-740,1,OSM-r
SP3219-001,1,OSM-r
SP3219-020,1,OSM-r
SP3219-070,1,OSM-r
SP3219-182,1,OSM-r
SP3219-630,1,OSM-r
SP3219-644,1,OSM-r
