CRP,idx_confirm,idx_ref
SP3610-000,1,OSM-r
SP3610-010,1,OSM-r
SP3610-210,3,OSM-nr
SP3610-220,2,OSM-nr
SP3610-230,1,OSM-r
SP3610-235,1,OSM-r
SP3610-236,1,OSM-w
SP3610-380,2,OSM-w
SP3610-397,1,OSM-w
SP3610-398,1,OSM-w
SP3610-420,2,OSM-w
SP3610-445,2,OSM-w
SP3610-509,2,OSM-w
SP3610-510,1,OSM-w
SP3610-549,2,OSM-w
SP3610-567,2,OSM-w
SP3610-660,2,OSM-w
SP3610-720,1,OSM-w
SP3610-760,4,OSM-w
SP3610-801,1,OSM-w
SP3610-810,1,OSM-w
SP3610-811,1,OSM-w
SP3610-812,1,OSM-w
SP3610-813,1,OSM-w
SP3610-815,1,OSM-w
SP3610-820,1,OSM-w
SP3610-825,1,OSM-w
SP3610-826,1,OSM-w
SP3610-827,2,OSM-w
SP3610-830,1,OSM-w
SP3610-831,1,OSM-w
SP3610-832,1,OSM-w
SP3610-834,1,OSM-w
SP3610-835,1,OSM-w
SP3610-836,1,OSM-w
SP3610-850,2,OSM-w
SP3610-870,1,OSM-w
SP3610-872,1,OSM-w
SP3610-886,1,OSM-w
SP3610-887,1,OSM-w
SP3610-888,1,OSM-w
SP3610-889,1,OSM-w
SP3610-890,1,OSM-w
SP3610-893,1,OSM-w
SP3610-894,1,OSM-w
SP3610-895,1,OSM-w
SP3610-970,1,OSM-r
SP3611-000,2,OSM-w
SP3611-010,1,OSM-w
SP3611-011,1,OSM-w
SP3611-012,1,OSM-w
SP3611-013,1,OSM-w
SP3611-014,1,OSM-w
SP3611-016,1,OSM-w
SP3611-017,1,OSM-w
SP3611-018,1,OSM-w
SP3611-020,1,OSM-w
SP3611-027,1,OSM-w
SP3611-028,1,OSM-w
SP3611-050,1,OSM-w
SP3611-064,1,OSM-w
SP3611-124,1,OSM-w
SP3611-203,1,OSM-w
SP3611-205,1,OSM-w
SP3611-207,4,OSM-w
SP3611-209,1,OSM-w
SP3611-211,1,OSM-w
SP3611-213,1,OSM-w
SP3611-215,1,OSM-w
SP3611-217,1,OSM-w
SP3611-241,1,OSM-w
SP3611-307,1,OSM-w
SP3611-309,1,OSM-w
SP3611-310,1,OSM-w
SP3611-320,1,OSM-w
SP3611-330,1,OSM-w
SP3611-332,4,OSM-w
SP3611-333,2,OSM-rw
SP3611-334,2,OSM-w
SP3611-335,1,OSM-w
SP3611-336,1,OSM-w
SP3611-340,1,OSM-w
SP3611-359,1,OSM-w
SP3611-365,1,OSM-w
SP3611-370,1,OSM-w
SP3611-380,1,OSM-w
SP3611-390,1,OSM-w
SP3611-445,4,OSM-w
SP3611-460,1,OSM-w
SP3611-467,1,OSM-w
SP3611-468,1,OSM-w
SP3611-469,1,OSM-w
SP3611-470,1,OSM-w
SP3611-479,1,OSM-w
SP3611-480,1,OSM-w
SP3611-481,2,OSM-w
SP3611-631,1,OSM-w
SP3611-632,1,OSM-w
SP3611-636,1,OSM-w
SP3611-750,1,OSM-w
SP3611-751,1,OSM-w
SP3611-755,1,OSM-w
SP3611-760,4,OSM-w
SP3611-761,1,OSM-w
SP3611-762,1,OSM-w
SP3611-763,2,OSM-w
SP3611-765,1,OSM-w
SP3611-766,1,OSM-w
SP3611-767,2,OSM-w
SP3611-768,2,OSM-w
SP3611-769,1,OSM-w
SP3611-770,1,OSM-w
SP3611-775,1,OSM-w
SP3611-780,1,OSM-w
SP3611-790,1,OSM-w
SP3611-791,1,OSM-w
SP3611-792,1,OSM-w
SP3611-793,1,OSM-w
SP3611-794,1,OSM-w
SP3611-795,1,OSM-w
SP3611-796,1,OSM-w
SP3611-797,1,OSM-w
SP3611-798,1,OSM-w
SP3611-799,1,OSM-w
SP3611-800,1,OSM-w
SP3611-801,1,OSM-w
SP3611-820,2,OSM-w
SP3611-821,1,OSM-w
SP3611-822,1,OSM-w
SP3611-823,1,OSM-w
SP3611-824,1,OSM-w
SP3611-825,1,OSM-w
SP3611-826,1,OSM-w
SP3611-827,1,OSM-w
SP3611-828,1,OSM-w
SP3611-829,1,OSM-w
SP3611-830,4,OSM-w
SP3611-831,5,OSM-w
SP3611-832,1,OSM-w
SP3611-833,1,OSM-w
SP3611-834,1,OSM-w
SP3612-050,1,OSM-n
SP3612-280,1,OSM-n
SP3612-383,1,OSM-r
SP3613-030,1,OSM-w
SP3613-040,1,OSM-w
SP3613-050,1,OSM-w
SP3613-060,1,OSM-w
SP3613-070,1,OSM-w
SP3613-080,2,OSM-w
SP3613-100,1,OSM-w
SP3613-110,1,OSM-w
SP3613-119,4,OSM-w
SP3613-120,1,OSM-w
SP3613-130,2,OSM-w
SP3613-140,1,OSM-w
SP3613-150,1,OSM-w
SP3613-160,1,OSM-w
SP3613-170,1,OSM-w
SP3613-180,1,OSM-w
SP3613-190,4,OSM-w
SP3613-230,1,OSM-w
SP3613-232,1,OSM-w
SP3613-234,1,OSM-w
SP3613-236,1,OSM-w
SP3613-238,1,OSM-w
SP3613-240,1,OSM-w
SP3613-244,2,OSM-w
SP3613-331,1,OSM-r
SP3614-060,1,OSM-n
SP3614-070,1,OSM-n
SP3614-240,1,OSM-r
SP3614-358,2,OSM-w
SP3614-370,1,OSM-r
SP3615-090,1,OSM-w
SP3615-270,2,OSM-w
SP3615-400,1,OSM-w
SP3615-410,1,OSM-w
SP3615-420,1,OSM-w
SP3615-430,1,OSM-w
SP3615-440,1,OSM-w
SP3615-450,1,OSM-w
SP3615-460,1,OSM-w
SP3615-470,1,OSM-w
SP3615-480,1,OSM-w
SP3615-490,4,OSM-w
SP3615-500,1,OSM-w
SP3615-510,1,OSM-w
SP3615-520,1,OSM-w
SP3615-530,1,OSM-w
SP3615-540,1,OSM-w
SP3615-547,1,OSM-w
SP3615-548,2,OSM-w
SP3615-549,1,OSM-w
SP3615-550,1,OSM-w
SP3615-560,1,OSM-w
SP3615-562,1,OSM-w
SP3615-564,1,OSM-w
SP3615-600,1,OSM-w
SP3615-610,1,OSM-w
SP3615-620,1,OSM-w
SP3615-630,1,OSM-w
SP3615-640,1,OSM-w
SP3615-650,1,OSM-w
SP3615-660,1,OSM-w
SP3615-670,1,OSM-w
SP3615-680,1,OSM-w
SP3615-700,1,OSM-w
SP3615-701,1,OSM-w
SP3615-702,1,OSM-w
SP3615-705,1,OSM-w
SP3615-708,1,OSM-w
SP3616-002,1,OSM-w
SP3616-010,1,OSM-w
SP3616-020,1,OSM-w
SP3616-030,1,OSM-w
SP3616-040,1,OSM-w
SP3616-050,1,OSM-w
SP3616-080,1,OSM-w
SP3616-090,1,OSM-w
SP3616-095,1,OSM-w
SP3616-097,1,OSM-w
SP3616-098,1,OSM-w
SP3616-099,1,OSM-w
SP3616-100,1,OSM-w
SP3616-101,2,OSM-w
SP3616-103,1,OSM-w
SP3616-105,1,OSM-w
SP3616-107,1,OSM-w
SP3616-109,1,OSM-w
SP3616-110,1,OSM-w
SP3616-120,1,OSM-w
SP3616-130,1,OSM-w
SP3616-140,1,OSM-w
SP3616-150,1,OSM-w
SP3616-160,1,OSM-w
SP3616-170,1,OSM-w
SP3616-173,1,OSM-w
SP3616-175,1,OSM-w
SP3616-177,1,OSM-w
SP3616-180,1,OSM-w
