CRP,idx_confirm,idx_ref
SP2600-005,2,OSM-rw
SP2600-020,2,OSM-w
SP2600-040,1,OSM-w
SP2600-050,1,OSM-w
SP2600-100,2,OSM-w
SP2600-130,1,OSM-r
SP2600-140,2,OSM-w
SP2600-200,2,OSM-w
SP2600-210,1,OSM-r
SP2600-220,1,OSM-w
SP2600-260,2,OSM-w
SP2600-300,1,OSM-w
SP2600-310,1,OSM-w
SP2600-320,2,OSM-w
SP2600-340,1,OSM-w
SP2600-370,1,OSM-w
SP2600-390,1,OSM-w
SP2600-410,1,OSM-w
SP2600-430,1,OSM-w
SP2600-440,1,OSM-w
SP2600-450,1,OSM-w
SP2600-460,1,OSM-w
SP2600-490,1,OSM-w
SP2600-500,1,OSM-w
SP2600-636,1,OSM-w
SP2600-639,1,OSM-w
SP2600-642,1,OSM-w
SP2600-645,1,OSM-w
SP2600-648,1,OSM-w
SP2600-651,1,OSM-w
SP2600-654,1,OSM-w
SP2601-080,1,OSM-w
SP2601-090,1,OSM-w
SP2601-110,1,OSM-w
SP2601-130,1,OSM-w
SP2602-000,2,OSM-w
SP2602-030,1,OSM-w
SP2602-040,2,OSM-w
SP2602-050,1,OSM-w
SP2602-060,1,OSM-w
SP2602-070,1,OSM-w
SP2602-080,1,OSM-w
SP2602-090,2,OSM-w
SP2602-100,1,OSM-r
SP2602-120,1,OSM-w
SP2602-150,1,OSM-w
SP2602-160,1,OSM-w
SP2602-170,1,OSM-w
SP2602-190,1,OSM-w
SP2602-200,1,OSM-w
SP2602-210,1,OSM-w
SP2602-220,1,OSM-w
SP2602-230,1,OSM-w
SP2602-260,1,OSM-w
SP2602-270,1,OSM-w
SP2602-391,1,OSM-r
SP2602-490,1,OSM-w
SP2602-550,1,OSM-w
SP2602-600,1,OSM-w
SP2602-640,1,OSM-w
SP2602-650,1,OSM-w
SP2602-690,2,OSM-w
SP2602-700,1,OSM-w
SP2602-810,1,OSM-r
SP2602-855,1,OSM-w
SP2603-010,1,OSM-w
SP2604-010,1,OSM-w
SP2604-020,1,OSM-w
SP2604-030,1,OSM-w
SP2604-040,1,OSM-w
SP2604-050,1,OSM-w
SP2604-060,1,OSM-w
SP2604-070,1,OSM-w
SP2604-080,2,OSM-r
SP2604-190,1,OSM-w
SP2604-370,1,OSM-w
SP2605-190,1,OSM-w
SP2605-210,1,OSM-w
SP2605-230,1,OSM-w
SP2605-260,4,OSM-w
SP2605-270,1,OSM-w
SP2605-340,1,OSM-w
SP2605-360,1,OSM-w
SP2605-390,2,OSM-w
SP2605-460,1,OSM-w
SP2605-485,2,OSM-w
SP2605-490,1,OSM-w
SP2605-495,1,OSM-w
SP2605-505,1,OSM-w
SP2605-510,1,OSM-w
SP2605-540,1,OSM-w
SP2605-545,1,OSM-w
SP2605-565,1,OSM-w
SP2605-610,2,OSM-rw
SP2606-080,2,OSM-r
SP2606-090,1,OSM-w
SP2606-160,1,OSM-w
SP2606-170,1,OSM-w
SP2606-180,1,OSM-w
SP2606-190,1,OSM-w
SP2606-200,1,OSM-w
SP2606-210,1,OSM-w
SP2606-280,1,OSM-w
SP2606-310,4,OSM-w
SP2606-330,1,OSM-n
SP2606-340,4,OSM-w
SP2606-350,1,OSM-w
SP2606-370,1,OSM-w
SP2606-380,2,OSM-w
SP2606-390,1,OSM-w
SP2606-410,1,OSM-w
SP2606-420,2,OSM-w
SP2606-450,2,OSM-w
SP2606-452,1,OSM-w
SP2606-460,1,OSM-w
SP2606-530,1,OSM-w
SP2606-540,1,OSM-w
SP2606-580,3,OSM-nw
SP2608-240,1,OSM-w
SP2608-580,1,OSM-w
SP2608-585,1,OSM-w
SP2608-595,1,OSM-w
SP2609-030,1,OSM-w
SP2609-130,1,OSM-w
SP2609-150,1,OSM-w
SP2609-170,1,OSM-n
SP2609-330,2,OSM-nr
