CRP,idx_confirm,idx_ref
ZM9310-080,1,OSM-r
ZM9310-130,1,OSM-r
ZM9310-180,1,OSM-r
ZM9310-380,2,OSM-r
ZM9310-640,1,OSM-r
ZM9311-040,5,OSM-nr
ZM9320-130,1,OSM-r
ZM9320-680,1,OSM-r
ZM9321-110,1,OSM-r
ZM9321-120,1,OSM-r
ZM9322-200,1,OSM-n
ZM9330-150,4,OSM-r
ZM9340-180,1,OSM-r
ZM9340-440,2,OSM-r
ZM9340-480,4,OSM-n
ZM9341-121,2,OSM-r
ZM9341-550,1,OSM-r
ZM9350-000,2,OSM-r
ZM9350-270,1,OSM-r
ZM9350-445,1,OSM-n
ZM9351-000,3,OSM-nr
ZM9351-070,1,OSM-r
ZM9351-460,1,OSM-r
ZM9351-511,5,OSM-nrw
ZM9360-120,1,OSM-r
ZM9360-160,1,OSM-r
ZM9360-500,1,OSM-r
ZM9360-540,1,OSM-r
ZM9360-590,1,OSM-r
ZM9361-350,1,OSM-n
ZM9370-050,1,OSM-r
ZM9370-111,1,OSM-r
ZM9370-570,1,OSM-r
ZM9370-670,2,OSM-r
ZM9370-840,1,OSM-r
ZM9371-030,1,OSM-r
ZM9371-520,1,OSM-r
ZM9380-310,9,OSM-n
ZM9380-330,1,OSM-r
ZM9380-370,1,OSM-n
ZM9380-428,2,OSM-n
ZM9381-100,1,OSM-r
ZM9390-040,1,OSM-r
ZM9390-120,1,OSM-r
ZM9390-140,1,OSM-r
ZM9390-195,1,OSM-r
ZM9390-820,1,OSM-r
ZM9391-250,1,OSM-n
