CRP,idx_confirm,idx_ref
ZM8700-000,1,OSM-r
ZM8700-001,1,OSM-r
ZM8701-000,1,OSM-r
ZM8701-970,1,OSM-r
ZM8710-090,1,OSM-r
ZM8710-150,1,OSM-r
ZM8710-170,1,OSM-w
ZM8710-185,1,OSM-w
ZM8710-200,2,OSM-w
ZM8710-220,1,OSM-w
ZM8710-250,2,OSM-w
ZM8710-260,1,OSM-w
ZM8710-270,2,OSM-rw
ZM8710-280,1,OSM-w
ZM8710-290,1,OSM-w
ZM8710-440,1,OSM-w
ZM8710-500,1,OSM-n
ZM8710-690,2,OSM-rw
ZM8715-030,3,OSM-rw
ZM8715-130,1,OSM-r
ZM8715-400,4,OSM-r
ZM8715-540,1,OSM-r
ZM8717-260,2,OSM-r
ZM8717-480,1,OSM-r
ZM8717-680,1,OSM-r
ZM8717-830,1,OSM-n
ZM8720-030,2,OSM-n
ZM8725-020,2,OSM-r
ZM8725-240,1,OSM-r
ZM8725-400,1,OSM-r
ZM8725-420,1,OSM-n
ZM8726-030,1,OSM-r
ZM8730-020,1,OSM-r
ZM8730-060,5,OSM-nr
ZM8730-120,1,OSM-r
ZM8730-500,1,OSM-r
ZM8730-590,2,OSM-r
ZM8735-050,1,OSM-n
ZM8735-400,1,OSM-n
ZM8735-440,1,OSM-r
ZM8737-050,1,OSM-r
ZM8737-220,1,OSM-n
ZM8737-230,1,OSM-r
ZM8738-000,1,OSM-r
ZM8738-040,1,OSM-r
ZM8738-060,1,OSM-n
ZM8738-260,4,OSM-r
ZM8738-300,2,OSM-r
ZM8738-510,1,OSM-r
ZM8740-010,2,OSM-r
ZM8740-150,2,OSM-r
ZM8740-460,1,OSM-r
ZM8740-470,1,OSM-r
ZM8740-640,1,OSM-r
ZM8742-010,1,OSM-n
ZM8742-290,1,OSM-n
ZM8743-010,1,OSM-r
ZM8743-140,2,OSM-r
ZM8743-150,1,OSM-r
ZM8743-320,1,OSM-r
ZM8743-340,1,OSM-n
ZM8743-600,1,OSM-r
ZM8744-340,2,OSM-r
ZM8745-000,2,OSM-r
ZM8745-010,2,OSM-r
ZM8745-150,1,OSM-r
ZM8745-340,1,OSM-r
ZM8745-600,1,OSM-r
ZM8750-230,1,OSM-r
ZM8750-240,1,OSM-r
ZM8750-260,2,OSM-r
ZM8750-290,1,OSM-r
ZM8750-330,1,OSM-r
ZM8750-500,1,OSM-r
ZM8750-510,1,OSM-n
ZM8750-570,2,OSM-r
ZM8750-580,2,OSM-r
ZM8750-590,3,OSM-nr
ZM8750-640,2,OSM-r
ZM8750-710,4,OSM-r
ZM8750-720,2,OSM-r
ZM8750-760,1,OSM-r
ZM8751-001,1,OSM-n
ZM8751-610,1,OSM-n
ZM8751-970,1,OSM-n
ZM8752-020,1,OSM-n
ZM8752-080,1,OSM-r
ZM8753-000,2,OSM-nr
ZM8755-000,2,OSM-r
ZM8755-015,2,OSM-r
ZM8760-130,1,OSM-n
ZM8760-500,2,OSM-r
ZM8761-000,1,OSM-r
ZM8762-050,2,OSM-r
ZM8762-200,1,OSM-r
ZM8762-430,1,OSM-n
ZM8762-480,1,OSM-r
ZM8763-180,4,OSM-r
ZM8765-000,2,OSM-r
ZM8765-100,1,OSM-r
ZM8765-110,1,OSM-r
ZM8765-120,1,OSM-n
ZM8765-180,1,OSM-r
ZM8766-500,2,OSM-r
ZM8767-305,1,OSM-r
ZM8767-315,1,OSM-r
ZM8767-325,1,OSM-r
ZM8770-000,1,OSM-w
ZM8770-010,1,OSM-w
ZM8770-020,1,OSM-w
ZM8770-030,2,OSM-rw
ZM8770-040,6,OSM-rw
ZM8770-050,1,OSM-w
ZM8770-060,1,OSM-w
ZM8770-070,1,OSM-w
ZM8770-080,1,OSM-w
ZM8770-090,1,OSM-w
ZM8770-100,1,OSM-w
ZM8770-120,3,OSM-rw
ZM8770-130,1,OSM-w
ZM8770-140,1,OSM-w
ZM8770-150,1,OSM-w
ZM8770-160,1,OSM-w
ZM8770-170,1,OSM-w
ZM8770-180,1,OSM-w
ZM8770-190,1,OSM-w
ZM8770-200,1,OSM-w
ZM8770-220,1,OSM-w
ZM8770-450,1,OSM-r
ZM8770-490,1,OSM-r
ZM8772-010,1,OSM-r
ZM8772-130,1,OSM-r
ZM8773-000,2,OSM-r
ZM8773-020,1,OSM-r
ZM8773-090,2,OSM-r
ZM8773-300,1,OSM-w
ZM8773-380,5,OSM-nr
ZM8773-395,7,OSM-r
ZM8773-520,1,OSM-r
ZM8773-540,1,OSM-r
ZM8773-600,1,OSM-r
ZM8774-220,2,OSM-r
ZM8775-210,1,OSM-n
ZM8775-350,1,OSM-r
ZM8775-420,2,OSM-nr
ZM8775-520,1,OSM-r
ZM8780-000,7,OSM-nr
ZM8780-030,3,OSM-rw
ZM8780-050,1,OSM-w
ZM8780-070,4,OSM-nrw
ZM8780-080,1,OSM-w
ZM8780-090,3,OSM-rw
ZM8780-110,1,OSM-r
ZM8780-170,1,OSM-w
ZM8780-200,1,OSM-r
ZM8780-220,1,OSM-w
ZM8780-240,1,OSM-r
ZM8780-260,1,OSM-w
ZM8780-270,1,OSM-w
ZM8780-280,1,OSM-w
ZM8780-290,2,OSM-w
ZM8780-360,1,OSM-w
ZM8780-370,1,OSM-w
ZM8780-390,1,OSM-w
ZM8780-560,1,OSM-r
ZM8780-680,1,OSM-r
ZM8780-685,1,OSM-r
ZM8780-720,1,OSM-r
ZM8780-740,1,OSM-n
ZM8780-760,1,OSM-r
ZM8780-900,1,OSM-r
ZM8780-911,1,OSM-r
ZM8790-020,1,OSM-r
ZM8790-030,1,OSM-r
ZM8790-160,3,OSM-rw
ZM8790-170,1,OSM-n
ZM8790-200,2,OSM-w
ZM8790-420,2,OSM-r
ZM8790-510,1,OSM-w
ZM8793-030,1,OSM-n
ZM8795-020,1,OSM-r
ZM8810-000,2,OSM-r
ZM8810-020,4,OSM-r
ZM8810-090,1,OSM-r
ZM8810-100,1,OSM-r
ZM8810-280,1,OSM-r
ZM8810-970,1,OSM-r
ZM8820-000,2,OSM-r
ZM8820-040,1,OSM-r
ZM8820-220,1,OSM-r
ZM8820-235,1,OSM-r
ZM8820-340,1,OSM-r
ZM8820-430,1,OSM-r
ZM8820-460,2,OSM-r
ZM8820-510,4,OSM-r
ZM8820-515,1,OSM-r
ZM8820-520,1,OSM-r
ZM8830-000,1,OSM-r
ZM8830-230,1,OSM-r
ZM8830-280,2,OSM-nr
ZM8830-490,1,OSM-r
ZM8830-740,1,OSM-r
ZM8830-745,1,OSM-n
ZM8840-030,1,OSM-r
ZM8840-150,2,OSM-nr
ZM8840-220,1,OSM-n
ZM8840-250,1,OSM-r
ZM8840-260,5,OSM-nr
ZM8840-330,1,OSM-r
ZM8840-530,1,OSM-r
ZM8840-550,1,OSM-r
ZM8850-040,1,OSM-n
ZM8850-170,1,OSM-r
ZM8850-205,1,OSM-r
ZM8850-230,1,OSM-n
