CRP,idx_confirm,idx_ref
SP3800-000,2,OSM-r
SP3800-033,1,OSM-r
SP3800-207,1,OSM-r
SP3800-290,2,OSM-r
SP3800-330,1,OSM-r
SP3801-300,1,OSM-r
SP3801-410,1,OSM-r
SP3802-660,1,OSM-n
SP3803-010,1,OSM-r
SP3803-011,1,OSM-r
SP3803-013,4,OSM-r
SP3803-028,1,OSM-r
SP3803-095,1,OSM-r
SP3803-096,1,OSM-r
SP3803-261,1,OSM-r
SP3803-360,5,OSM-r
SP3803-370,4,OSM-r
SP3803-705,1,OSM-r
SP3803-810,1,OSM-r
SP3806-050,1,OSM-r
SP3806-065,1,OSM-r
SP3806-093,2,OSM-r
SP3806-680,2,OSM-nr
SP3807-011,2,OSM-r
SP3807-020,2,OSM-r
SP3807-526,2,OSM-r
