CRP,idx_confirm,idx_ref
ZM6010-020,1,OSM-n
ZM6013-030,1,OSM-r
ZM6013-070,1,OSM-r
ZM6016-008,1,OSM-n
ZM6017-020,1,OSM-r
ZM6018-035,1,OSM-r
ZM6018-140,2,OSM-r
ZM6018-160,2,OSM-r
ZM6018-170,1,OSM-r
ZM6020-010,2,OSM-r
ZM6020-012,1,OSM-r
ZM6020-190,1,OSM-r
ZM6020-194,1,OSM-r
ZM6030-016,1,OSM-r
ZM6036-013,2,OSM-nr
ZM6036-018,1,OSM-r
ZM6036-048,1,OSM-r
ZM6056-420,1,OSM-r
ZM6060-210,1,OSM-r
ZM6070-270,1,OSM-r
ZM6086-040,1,OSM-n
ZM6086-090,1,OSM-r
ZM6090-010,1,OSM-n
ZM6090-015,2,OSM-nr
ZM6090-020,1,OSM-n
ZM6090-023,1,OSM-r
ZM6090-030,1,OSM-r
ZM6093-010,1,OSM-n
ZM6093-015,1,OSM-n
ZM6093-020,1,OSM-r
ZM6097-010,1,OSM-r
ZM6097-100,4,OSM-n
ZM6097-105,4,OSM-n
ZM6114-000,1,OSM-n
ZM6122-170,1,OSM-r
ZM6130-060,1,OSM-r
ZM6140-200,1,OSM-r
ZM6142-350,4,OSM-r
ZM6149-120,2,OSM-r
ZM6149-211,1,OSM-n
ZM6150-000,7,OSM-r
ZM6154-000,1,OSM-r
ZM6182-260,1,OSM-n
ZM6186-130,1,OSM-r
ZM6192-010,1,OSM-r
ZM6194-040,1,OSM-n
ZM6194-050,1,OSM-n
ZM6210-100,1,OSM-r
ZM6210-170,1,OSM-r
ZM6213-040,1,OSM-r
ZM6216-000,1,OSM-n
ZM6220-050,1,OSM-r
ZM6226-010,1,OSM-r
ZM6230-092,4,OSM-n
ZM6230-094,4,OSM-n
ZM6230-096,5,OSM-n
ZM6230-098,2,OSM-n
ZM6230-100,1,OSM-r
ZM6233-000,4,OSM-n
ZM6233-020,4,OSM-r
ZM6233-060,1,OSM-r
ZM6233-080,1,OSM-r
ZM6233-150,1,OSM-r
ZM6233-210,1,OSM-r
ZM6236-030,1,OSM-n
ZM6236-050,4,OSM-n
ZM6236-060,1,OSM-r
ZM6250-250,3,OSM-nr
ZM6260-118,2,OSM-r
ZM6260-170,1,OSM-r
ZM6263-000,1,OSM-r
ZM6266-030,1,OSM-r
ZM6273-060,1,OSM-r
ZM6278-010,2,OSM-r
ZM6290-050,2,OSM-nr
ZM6296-220,1,OSM-n
ZM6298-060,1,OSM-r
