CRP,idx_confirm,idx_ref
SP9900-000,2,OSM-nr
SP9900-010,3,OSM-nr
SP9900-011,5,OSM-nr
SP9900-020,4,OSM-r
SP9900-021,5,OSM-r
SP9900-030,4,OSM-r
SP9900-041,2,OSM-r
SP9900-042,2,OSM-r
SP9900-060,4,OSM-r
SP9900-071,5,OSM-r
SP9900-080,4,OSM-r
SP9900-100,4,OSM-r
SP9900-261,1,OSM-r
SP9901-010,4,OSM-r
SP9901-080,1,OSM-r
SP9901-150,1,OSM-r
SP9901-630,4,OSM-r
SP9901-711,4,OSM-r
SP9902-610,4,OSM-r
SP9903-302,1,OSM-r
SP9904-120,4,OSM-r
SP9904-205,2,OSM-r
SP9904-220,1,OSM-w
SP9904-230,1,OSM-r
SP9904-245,7,OSM-r
SP9904-260,2,OSM-r
SP9904-265,10,OSM-nrw
SP9904-270,1,OSM-w
SP9904-282,4,OSM-r
SP9904-600,4,OSM-r
SP9904-603,2,OSM-r
SP9905-170,2,OSM-r
SP9907-510,4,OSM-r
SP9911-205,2,OSM-r
SP9911-620,1,OSM-r
SP9911-726,1,OSM-r
SP9915-022,1,OSM-r
