CRP,idx_confirm,idx_ref
SP3140-000,3,OSM-nr
SP3140-162,2,OSM-w
SP3140-244,1,OSM-n
SP3140-301,1,OSM-r
SP3140-327,2,OSM-w
SP3140-330,1,OSM-w
SP3140-338,2,OSM-w
SP3140-421,4,OSM-w
SP3140-422,2,OSM-w
SP3140-426,1,OSM-w
SP3140-428,1,OSM-w
SP3140-430,2,OSM-w
SP3140-432,1,OSM-w
SP3140-434,1,OSM-w
SP3140-436,1,OSM-w
SP3140-438,1,OSM-w
SP3140-440,1,OSM-w
SP3140-442,1,OSM-w
SP3140-444,1,OSM-w
SP3140-446,1,OSM-w
SP3140-448,1,OSM-w
SP3140-450,1,OSM-w
SP3140-454,2,OSM-w
SP3140-474,2,OSM-w
SP3140-482,1,OSM-w
SP3140-496,1,OSM-w
SP3140-526,1,OSM-w
SP3140-530,1,OSM-w
SP3140-560,4,OSM-r
SP3140-707,1,OSM-n
SP3140-711,1,OSM-w
SP3140-720,1,OSM-w
SP3140-971,1,OSM-r
SP3141-170,1,OSM-r
SP3141-901,1,OSM-r
SP3142-070,1,OSM-w
SP3142-174,1,OSM-w
SP3142-188,2,OSM-w
SP3142-208,1,OSM-w
SP3142-216,1,OSM-w
SP3142-218,1,OSM-w
SP3142-220,1,OSM-w
SP3142-222,1,OSM-w
SP3142-224,1,OSM-w
SP3142-226,1,OSM-w
SP3142-228,1,OSM-w
SP3142-230,1,OSM-w
SP3142-232,1,OSM-w
SP3142-234,1,OSM-w
SP3142-236,1,OSM-w
SP3142-238,1,OSM-w
SP3142-297,1,OSM-r
SP3142-304,1,OSM-w
SP3142-306,1,OSM-w
SP3142-310,1,OSM-w
SP3142-312,1,OSM-w
SP3142-314,1,OSM-w
SP3142-316,1,OSM-w
SP3142-318,1,OSM-w
SP3142-320,1,OSM-w
SP3142-322,1,OSM-w
SP3142-324,1,OSM-w
SP3142-326,1,OSM-w
SP3142-328,1,OSM-w
SP3142-330,1,OSM-w
SP3142-332,1,OSM-w
SP3142-334,1,OSM-w
SP3142-335,1,OSM-w
SP3142-336,2,OSM-w
SP3142-338,1,OSM-w
SP3142-342,1,OSM-w
SP3142-344,1,OSM-w
SP3142-348,1,OSM-w
SP3142-350,1,OSM-w
SP3142-352,1,OSM-w
SP3142-354,1,OSM-w
SP3142-356,2,OSM-w
SP3142-360,1,OSM-w
SP3142-362,1,OSM-w
SP3142-364,1,OSM-w
SP3142-366,1,OSM-w
SP3142-368,1,OSM-w
SP3142-372,1,OSM-w
SP3142-374,1,OSM-w
SP3142-376,1,OSM-w
SP3142-378,2,OSM-w
SP3142-380,2,OSM-w
SP3142-382,2,OSM-w
SP3142-384,1,OSM-w
SP3142-386,1,OSM-w
SP3142-388,2,OSM-w
SP3142-390,1,OSM-w
SP3142-400,1,OSM-w
SP3142-402,1,OSM-w
SP3142-404,1,OSM-w
SP3142-406,1,OSM-w
SP3142-412,1,OSM-w
SP3142-414,1,OSM-w
SP3142-418,1,OSM-w
SP3142-420,2,OSM-w
SP3142-422,1,OSM-w
SP3142-426,1,OSM-w
SP3142-428,1,OSM-w
SP3142-430,1,OSM-w
SP3142-432,1,OSM-w
SP3142-436,1,OSM-w
SP3142-438,1,OSM-w
SP3142-440,1,OSM-w
SP3142-442,1,OSM-w
SP3142-444,1,OSM-w
SP3142-446,1,OSM-w
SP3142-448,1,OSM-w
SP3142-450,1,OSM-w
SP3142-452,1,OSM-w
SP3142-460,1,OSM-w
SP3142-462,4,OSM-w
SP3142-464,2,OSM-w
SP3142-466,1,OSM-w
SP3142-468,1,OSM-w
SP3142-470,1,OSM-w
SP3142-472,1,OSM-w
SP3142-474,1,OSM-w
SP3142-480,1,OSM-w
SP3142-484,1,OSM-w
SP3142-486,1,OSM-w
SP3142-488,1,OSM-w
SP3142-490,1,OSM-w
SP3142-494,1,OSM-w
SP3142-496,1,OSM-w
SP3142-498,1,OSM-w
SP3142-500,1,OSM-w
SP3142-502,1,OSM-w
SP3142-504,1,OSM-w
SP3142-506,1,OSM-w
SP3142-508,1,OSM-w
SP3142-510,1,OSM-w
SP3142-512,1,OSM-w
SP3142-514,1,OSM-w
SP3142-516,1,OSM-w
SP3142-518,2,OSM-w
SP3142-520,1,OSM-w
SP3142-522,4,OSM-w
SP3144-550,1,OSM-w
SP3144-552,1,OSM-w
SP3144-554,1,OSM-w
SP3144-556,1,OSM-w
SP3144-558,1,OSM-w
SP3144-562,1,OSM-w
SP3144-574,1,OSM-w
SP3144-594,1,OSM-w
SP3144-598,1,OSM-w
SP3144-602,1,OSM-w
SP3144-604,1,OSM-w
SP3144-606,1,OSM-w
SP3144-662,1,OSM-w
SP3144-663,1,OSM-w
SP3144-703,1,OSM-w
SP3144-704,1,OSM-w
SP3144-705,1,OSM-w
SP3144-706,1,OSM-w
SP3144-707,1,OSM-w
SP3144-708,2,OSM-w
SP3144-709,2,OSM-w
SP3144-710,1,OSM-w
SP3144-711,1,OSM-w
SP3144-722,1,OSM-w
SP3144-724,1,OSM-w
SP3144-726,1,OSM-w
SP3144-728,1,OSM-w
SP3144-730,1,OSM-w
SP3145-062,1,OSM-w
SP3145-064,2,OSM-w
SP3145-068,1,OSM-w
SP3145-070,1,OSM-w
SP3145-072,1,OSM-w
SP3145-074,1,OSM-w
SP3145-076,1,OSM-w
SP3145-078,1,OSM-w
SP3145-080,1,OSM-w
SP3145-083,1,OSM-w
SP3145-085,1,OSM-w
SP3145-087,1,OSM-w
SP3145-095,1,OSM-w
SP3145-097,1,OSM-w
SP3145-127,1,OSM-w
SP3145-255,1,OSM-w
SP3145-256,1,OSM-w
SP3145-380,1,OSM-w
SP3145-386,1,OSM-w
SP3145-390,1,OSM-w
SP3145-392,1,OSM-w
SP3145-394,1,OSM-w
SP3145-396,1,OSM-w
SP3145-398,1,OSM-w
SP3145-400,1,OSM-w
SP3145-402,1,OSM-w
SP3145-404,1,OSM-w
SP3145-406,1,OSM-w
SP3145-408,1,OSM-w
SP3145-410,1,OSM-w
SP3145-412,1,OSM-w
SP3145-414,1,OSM-w
SP3145-416,1,OSM-w
SP3145-440,1,OSM-w
SP3145-444,1,OSM-w
SP3145-446,2,OSM-w
SP3145-574,1,OSM-w
SP3145-671,1,OSM-w
SP3145-672,2,OSM-w
SP3145-674,2,OSM-w
SP3145-680,2,OSM-w
SP3145-682,1,OSM-w
SP3145-684,2,OSM-rw
SP3145-688,4,OSM-w
SP3145-692,1,OSM-w
SP3145-694,1,OSM-w
SP3145-696,1,OSM-w
SP3145-708,1,OSM-w
SP3145-716,1,OSM-w
SP3145-718,1,OSM-w
SP3145-719,1,OSM-w
SP3145-720,1,OSM-w
SP3145-730,1,OSM-w
SP3145-744,1,OSM-w
SP3145-745,1,OSM-w
SP3145-746,2,OSM-w
SP3145-756,1,OSM-w
SP3145-758,1,OSM-w
SP3145-760,1,OSM-w
SP3145-761,1,OSM-w
SP3145-765,1,OSM-n
SP3145-766,1,OSM-r
SP3145-768,1,OSM-w
SP3145-769,1,OSM-w
SP3145-773,1,OSM-w
SP3145-774,1,OSM-w
SP3145-775,1,OSM-w
SP3145-776,1,OSM-w
SP3145-777,1,OSM-w
SP3145-778,1,OSM-w
SP3145-779,1,OSM-w
SP3145-780,1,OSM-w
SP3145-781,1,OSM-w
SP3145-784,1,OSM-w
SP3145-785,1,OSM-w
SP3145-786,1,OSM-w
SP3145-787,1,OSM-w
SP3145-788,1,OSM-w
SP3145-789,1,OSM-w
SP3145-790,1,OSM-w
SP3145-791,1,OSM-w
SP3145-792,1,OSM-w
