CRP,idx_confirm,idx_ref
SP3273-613,1,OSM-n
SP3400-350,1,OSM-n
SP3401-488,1,OSM-n
SP3403-000,1,OSM-n
SP3403-130,1,OSM-r
SP3403-600,1,OSM-r
SP3405-208,1,OSM-n
SP3405-235,2,OSM-n
SP3408-011,1,OSM-n
SP3408-027,1,OSM-n
SP3408-033,1,OSM-n
SP3408-059,1,OSM-n
SP3408-140,1,OSM-n
SP3408-257,1,OSM-n
SP3409-010,1,OSM-n
SP3409-016,1,OSM-n
SP3409-023,1,OSM-n
SP3411-033,1,OSM-n
SP3411-038,1,OSM-n
SP3411-053,1,OSM-n
SP3411-060,1,OSM-n
SP3411-083,1,OSM-n
SP3411-096,1,OSM-n
SP3412-248,1,OSM-n
SP3412-256,2,OSM-n
SP3412-351,1,OSM-n
SP3414-903,2,OSM-nr
SP3416-060,1,OSM-r
SP3416-215,1,OSM-r
SP3416-230,1,OSM-r
SP3416-401,1,OSM-n
SP3416-585,1,OSM-n
SP3418-160,1,OSM-n
SP3418-500,1,OSM-n
SP3419-000,1,OSM-r
SP3419-055,1,OSM-n
SP3419-100,4,OSM-n
SP3419-110,1,OSM-n
SP3419-130,1,OSM-r
SP3419-150,2,OSM-n
SP3419-160,1,OSM-r
SP3419-190,1,OSM-n
SP3419-250,1,OSM-n
SP3419-260,2,OSM-n
SP3420-750,1,OSM-n
SP3423-100,1,OSM-r
SP3426-420,1,OSM-n
