CRP,idx_confirm,idx_ref
SP4010-000,1,OSM-r
SP4010-120,1,OSM-r
SP4010-150,1,OSM-n
SP4010-170,4,OSM-r
SP4015-020,2,OSM-r
SP4015-040,6,OSM-nr
SP4015-050,1,OSM-r
SP4015-080,1,OSM-n
SP4020-200,1,OSM-n
SP4020-270,1,OSM-n
SP4020-640,1,OSM-n
SP4021-587,2,OSM-r
SP4021-590,1,OSM-r
SP4021-617,1,OSM-r
SP4021-655,1,OSM-n
SP4024-010,1,OSM-n
SP4024-020,3,OSM-rw
SP4025-230,1,OSM-n
SP4025-400,1,OSM-r
SP4025-540,1,OSM-n
SP4026-282,1,OSM-n
SP4026-520,1,OSM-r
SP4026-575,1,OSM-n
SP4026-590,2,OSM-r
SP4026-900,1,OSM-r
SP4027-250,1,OSM-n
SP4030-000,1,OSM-n
SP4030-390,3,OSM-nr
SP4030-430,1,OSM-r
SP4030-440,2,OSM-nr
SP4030-450,2,OSM-n
SP4050-220,2,OSM-n
SP4050-350,1,OSM-r
SP4051-140,4,OSM-r
SP4051-150,1,OSM-n
SP4051-290,1,OSM-r
SP4055-309,1,OSM-r
SP4060-060,1,OSM-n
SP4062-100,2,OSM-r
SP4080-430,1,OSM-r
SP4090-200,1,OSM-r
SP4092-110,1,OSM-r
SP4093-500,1,OSM-n
SP4094-582,1,OSM-n
SP4095-000,1,OSM-r
SP4096-340,2,OSM-r
SP4096-400,1,OSM-r
SP4098-328,1,OSM-n
SP4110-000,1,OSM-n
