CRP,idx_confirm,idx_ref
ZM6501-005,1,OSM-r
ZM6501-010,1,OSM-n
ZM6501-035,1,OSM-n
ZM6501-060,1,OSM-r
ZM6501-120,1,OSM-r
ZM6502-156,1,OSM-r
ZM6502-165,1,OSM-r
ZM6502-195,1,OSM-n
ZM6515-005,2,OSM-r
ZM6515-055,2,OSM-r
ZM6525-075,1,OSM-r
ZM6528-425,1,OSM-r
ZM6529-001,2,OSM-r
ZM6530-001,2,OSM-r
ZM6530-005,2,OSM-r
ZM6530-245,1,OSM-r
ZM6530-551,1,OSM-r
ZM6534-030,1,OSM-r
ZM6539-005,1,OSM-r
ZM6540-001,1,OSM-r
ZM6540-395,1,OSM-r
ZM6540-900,1,OSM-r
ZM6542-001,1,OSM-r
ZM6543-001,1,OSM-r
ZM6543-004,1,OSM-n
ZM6543-325,1,OSM-n
