CRP,idx_confirm,idx_ref
ZM9010-020,1,OSM-r
ZM9010-090,2,OSM-n
ZM9010-160,1,OSM-n
ZM9015-030,1,OSM-n
ZM9015-080,1,OSM-r
ZM9015-191,1,OSM-r
ZM9015-200,2,OSM-n
ZM9015-300,1,OSM-r
ZM9015-320,4,OSM-r
ZM9015-410,1,OSM-r
ZM9020-120,1,OSM-n
ZM9020-130,1,OSM-r
ZM9030-030,1,OSM-r
ZM9030-520,1,OSM-r
ZM9040-000,1,OSM-r
ZM9040-040,1,OSM-r
ZM9040-160,2,OSM-r
ZM9040-280,1,OSM-r
ZM9040-905,1,OSM-r
ZM9041-000,1,OSM-n
ZM9041-031,1,OSM-r
ZM9041-380,1,OSM-n
ZM9051-090,2,OSM-nr
ZM9051-110,1,OSM-r
ZM9051-150,1,OSM-r
ZM9051-360,1,OSM-r
ZM9051-460,1,OSM-r
ZM9060-000,1,OSM-n
ZM9060-650,4,OSM-r
ZM9060-870,1,OSM-r
ZM9061-140,1,OSM-r
ZM9061-410,1,OSM-r
ZM9070-060,1,OSM-r
ZM9070-210,1,OSM-n
ZM9070-250,5,OSM-n
ZM9070-561,1,OSM-r
ZM9080-000,1,OSM-r
ZM9080-010,1,OSM-n
ZM9080-320,6,OSM-n
ZM9080-371,1,OSM-r
ZM9090-300,1,OSM-r
ZM9090-450,1,OSM-r
ZM9111-340,1,OSM-r
ZM9121-000,1,OSM-r
ZM9130-160,1,OSM-r
ZM9130-400,2,OSM-r
ZM9130-410,2,OSM-r
ZM9132-033,2,OSM-r
ZM9133-000,1,OSM-r
ZM9133-070,1,OSM-r
ZM9154-900,1,OSM-r
ZM9170-000,1,OSM-r
ZM9170-150,1,OSM-r
ZM9172-250,1,OSM-r
ZM9175-500,1,OSM-r
ZM9175-730,1,OSM-n
ZM9185-220,1,OSM-r
ZM9185-410,1,OSM-r
ZM9190-210,4,OSM-r
ZM9190-360,1,OSM-r
ZM9190-400,1,OSM-r
ZM9190-500,1,OSM-r
ZM9190-610,4,OSM-r
ZM9190-615,3,OSM-nr
ZM9190-650,2,OSM-nr
ZM9195-690,1,OSM-r
ZM9210-200,1,OSM-r
ZM9210-210,1,OSM-r
ZM9210-370,1,OSM-w
ZM9210-377,2,OSM-nw
ZM9210-580,5,OSM-nr
ZM9210-620,2,OSM-r
ZM9210-640,1,OSM-r
ZM9220-320,1,OSM-r
ZM9220-570,1,OSM-r
ZM9220-611,1,OSM-r
ZM9230-000,1,OSM-r
ZM9230-200,1,OSM-r
ZM9230-300,1,OSM-r
ZM9230-490,1,OSM-r
ZM9230-605,1,OSM-r
ZM9230-700,1,OSM-r
ZM9230-701,1,OSM-r
ZM9240-210,1,OSM-n
ZM9240-410,2,OSM-nr
ZM9241-020,1,OSM-r
ZM9241-090,1,OSM-r
ZM9241-100,1,OSM-r
ZM9250-450,1,OSM-r
ZM9260-710,1,OSM-r
ZM9271-180,1,OSM-n
ZM9280-510,1,OSM-n
SP3087-901,1,OSM-r
