CRP,idx_confirm,idx_ref
SP1010-035,1,OSM-n
SP1010-151,1,OSM-r
SP1010-260,1,OSM-n
SP1010-280,1,OSM-n
SP1010-320,1,OSM-n
SP1013-200,2,OSM-r
SP1013-202,1,OSM-r
SP1013-210,1,OSM-n
SP1013-250,2,OSM-r
SP1013-360,1,OSM-r
SP1013-905,1,OSM-r
SP1013-925,1,OSM-r
SP1015-020,1,OSM-r
SP1015-201,1,OSM-r
SP1015-440,1,OSM-r
SP1015-505,1,OSM-r
SP1015-530,1,OSM-r
SP1015-540,1,OSM-n
SP1020-000,1,OSM-n
SP1020-001,1,OSM-n
SP1025-003,1,OSM-n
SP1025-032,1,OSM-n
SP1025-190,1,OSM-r
SP1025-200,1,OSM-r
SP1030-010,1,OSM-n
SP1030-151,1,OSM-n
SP1030-181,1,OSM-n
SP1030-200,3,OSM-nr
SP1030-270,1,OSM-r
SP1030-400,1,OSM-n
SP1030-401,1,OSM-n
SP1030-560,1,OSM-n
SP1030-600,2,OSM-nr
SP1030-601,1,OSM-r
SP1035-100,1,OSM-r
SP1040-000,1,OSM-n
SP1040-001,1,OSM-n
SP1040-010,1,OSM-r
SP1040-050,1,OSM-n
SP1040-100,2,OSM-nr
SP1040-110,2,OSM-r
SP1040-111,2,OSM-nr
SP1040-220,1,OSM-n
SP1040-271,1,OSM-r
SP1040-900,1,OSM-r
SP1045-002,1,OSM-n
SP1045-140,1,OSM-r
SP1045-200,1,OSM-r
SP1045-201,2,OSM-n
SP1045-301,3,OSM-nr
SP1045-330,1,OSM-n
SP1045-401,1,OSM-r
SP1045-500,1,OSM-n
SP1045-907,1,OSM-r
SP1045-908,1,OSM-r
SP1050-220,1,OSM-n
SP1060-000,2,OSM-nr
SP1060-001,1,OSM-r
SP1060-002,9,OSM-nr
SP1060-003,2,OSM-r
SP1060-301,1,OSM-n
SP1060-302,1,OSM-r
SP1060-440,1,OSM-r
SP1060-917,1,OSM-r
SP1065-000,1,OSM-n
SP1065-201,5,OSM-nr
SP1065-240,2,OSM-nr
SP1065-400,2,OSM-r
SP1065-500,2,OSM-nr
SP1065-600,1,OSM-r
SP1065-601,1,OSM-r
SP1070-050,3,OSM-nr
SP1070-060,1,OSM-r
SP1070-061,1,OSM-r
SP1075-000,1,OSM-r
SP1075-101,1,OSM-n
SP1075-301,1,OSM-r
SP1075-355,1,OSM-r
SP1075-500,1,OSM-n
SP1075-900,4,OSM-r
SP1082-460,1,OSM-r
SP1085-001,1,OSM-n
SP1085-800,1,OSM-r
SP1087-200,1,OSM-r
SP1089-190,6,OSM-r
SP1095-700,2,OSM-r
SP1436-010,1,OSM-r
SP1450-001,1,OSM-r
SP1450-170,1,OSM-r
SP1495-015,1,OSM-r
SP1495-025,1,OSM-r
SP1495-040,1,OSM-n
SP1495-135,1,OSM-r
