CRP,idx_confirm,idx_ref
ZM4247-020,1,OSM-r
ZM6843-420,1,OSM-r
ZM8750-050,1,OSM-r
ZM9381-630,6,OSM-nw
ZM9601-000,3,OSM-nr
ZM9602-000,4,OSM-r
ZM9603-000,1,OSM-r
ZM9605-000,1,OSM-r
ZM9606-000,1,OSM-r
ZM9606-045,2,OSM-r
ZM9608-010,1,OSM-r
ZM9608-360,1,OSM-r
ZM9609-000,2,OSM-r
ZM9610-000,1,OSM-n
ZM9611-000,1,OSM-r
ZM9612-000,4,OSM-r
ZM9613-000,2,OSM-nr
ZM9613-100,1,OSM-r
ZM9614-000,1,OSM-r
ZM9616-070,1,OSM-r
ZM9618-000,2,OSM-nr
ZM9623-030,1,OSM-r
ZM9624-020,1,OSM-r
ZM9624-070,2,OSM-r
ZM9626-130,1,OSM-r
ZM9627-000,2,OSM-r
ZM9636-000,2,OSM-r
ZM9637-000,2,OSM-r
ZM9638-000,1,OSM-r
ZM9639-000,1,OSM-r
ZM9640-020,1,OSM-r
ZM9641-000,1,OSM-r
ZM9642-000,1,OSM-r
ZM9655-000,5,OSM-r
ZM9660-000,4,OSM-r
ZM9661-030,1,OSM-r
ZM9662-070,4,OSM-r
ZM9664-000,1,OSM-r
ZM9667-030,1,OSM-r
ZM9668-125,1,OSM-r
ZM9668-130,1,OSM-r
ZM9671-040,2,OSM-r
ZM9672-000,1,OSM-r
ZM9682-100,4,OSM-r
ZM9683-080,2,OSM-r
ZM9684-000,1,OSM-r
ZM9684-010,1,OSM-r
ZM9685-000,1,OSM-r
ZM9686-000,4,OSM-r
ZM9686-020,2,OSM-nr
ZM9687-100,1,OSM-r
ZM9688-000,2,OSM-r
ZM9688-040,4,OSM-r
ZM9688-050,1,OSM-r
ZM9688-100,2,OSM-r
ZM9689-010,1,OSM-r
ZM9690-000,5,OSM-r
ZM9690-100,2,OSM-r
ZM9691-000,1,OSM-r
ZM9691-020,2,OSM-r
ZM9691-065,1,OSM-r
ZM9691-100,4,OSM-r
ZM9691-200,5,OSM-r
ZM9691-350,1,OSM-r
ZM9692-030,11,OSM-rw
ZM9692-100,4,OSM-r
ZM9693-010,1,OSM-r
ZM9694-000,4,OSM-r
ZM9695-000,1,OSM-n
ZM9695-100,1,OSM-r
ZM9710-000,9,OSM-nr
ZM9710-001,1,OSM-r
ZM9710-002,1,OSM-n
ZM9710-010,3,OSM-nr
ZM9710-011,1,OSM-r
ZM9710-012,5,OSM-nr
ZM9710-030,1,OSM-r
ZM9710-060,3,OSM-nr
ZM9710-090,1,OSM-n
ZM9710-180,6,OSM-nr
ZM9710-190,1,OSM-r
ZM9710-192,2,OSM-r
ZM9710-193,3,OSM-nr
ZM9710-201,2,OSM-nr
ZM9710-240,1,OSM-n
ZM9715-000,5,OSM-nr
ZM9715-021,5,OSM-nr
ZM9715-030,1,OSM-r
ZM9715-090,2,OSM-r
ZM9715-130,2,OSM-r
ZM9720-000,7,OSM-nr
ZM9720-010,9,OSM-nr
ZM9720-080,1,OSM-n
ZM9720-120,1,OSM-r
ZM9720-130,3,OSM-nr
ZM9720-160,2,OSM-r
ZM9720-260,1,OSM-r
ZM9720-290,1,OSM-r
ZM9720-350,1,OSM-r
ZM9720-370,1,OSM-r
ZM9720-375,4,OSM-r
ZM9720-440,2,OSM-r
ZM9720-470,1,OSM-r
ZM9720-490,1,OSM-r
