CRP,idx_confirm,idx_ref
ZM9461-000,1,OSM-r
ZM9520-000,1,OSM-r
ZM9520-280,1,OSM-n
ZM9520-400,1,OSM-r
ZM9520-410,1,OSM-r
ZM9520-510,1,OSM-r
ZM9520-570,1,OSM-n
ZM9521-050,1,OSM-n
ZM9530-001,1,OSM-r
ZM9530-060,1,OSM-n
ZM9530-200,2,OSM-r
ZM9530-701,1,OSM-r
ZM9540-230,1,OSM-r
ZM9540-280,1,OSM-r
ZM9540-300,1,OSM-r
ZM9541-000,1,OSM-r
ZM9541-100,1,OSM-r
ZM9541-220,1,OSM-r
ZM9541-270,1,OSM-r
ZM9541-300,1,OSM-n
ZM9541-480,1,OSM-r
ZM9550-000,1,OSM-r
ZM9550-051,1,OSM-n
ZM9550-580,1,OSM-r
ZM9551-210,1,OSM-r
ZM9551-340,1,OSM-r
ZM9560-000,1,OSM-r
ZM9560-340,1,OSM-n
ZM9560-390,5,OSM-n
ZM9560-400,2,OSM-r
ZM9560-520,1,OSM-r
ZM9560-570,1,OSM-r
ZM9561-080,5,OSM-n
ZM9570-320,2,OSM-r
ZM9570-420,1,OSM-r
ZM9571-000,2,OSM-r
ZM9571-010,3,OSM-nr
ZM9571-020,1,OSM-n
ZM9571-200,1,OSM-r
ZM9571-300,3,OSM-nr
ZM9571-310,1,OSM-r
ZM9571-340,1,OSM-r
ZM9571-380,5,OSM-nr
ZM9571-470,1,OSM-n
ZM9572-230,1,OSM-r
ZM9572-300,2,OSM-r
ZM9572-480,1,OSM-r
ZM9580-120,1,OSM-r
ZM9580-140,1,OSM-r
ZM9580-500,6,OSM-nr
ZM9580-530,1,OSM-r
ZM9580-750,2,OSM-nr
ZM9580-780,1,OSM-r
ZM9581-170,2,OSM-r
ZM9581-300,2,OSM-nr
ZM9581-420,2,OSM-r
ZM9581-680,1,OSM-r
ZM9850-900,1,OSM-r
