CRP,idx_confirm,idx_ref
SP3544-440,1,OSM-r
SP3560-001,2,OSM-r
SP3560-002,4,OSM-r
SP3560-010,9,OSM-nr
SP3560-011,4,OSM-r
SP3560-042,1,OSM-n
SP3560-049,3,OSM-nr
SP3560-053,1,OSM-r
SP3560-110,1,OSM-n
SP3560-120,1,OSM-n
SP3560-180,2,OSM-r
SP3560-190,2,OSM-n
SP3560-200,8,OSM-nr
SP3560-230,2,OSM-r
SP3560-240,1,OSM-r
SP3560-241,3,OSM-nr
SP3560-250,5,OSM-r
SP3560-251,5,OSM-nr
SP3560-260,2,OSM-r
SP3560-290,2,OSM-r
SP3560-300,10,OSM-nr
SP3560-320,9,OSM-nr
SP3560-330,5,OSM-r
SP3560-430,7,OSM-r
SP3560-450,6,OSM-r
SP3560-460,6,OSM-r
SP3560-462,5,OSM-r
SP3560-470,6,OSM-r
SP3560-500,1,OSM-r
SP3560-510,6,OSM-r
SP3560-515,1,OSM-n
SP3560-610,1,OSM-r
SP3560-640,2,OSM-r
SP3560-647,1,OSM-r
SP3560-648,1,OSM-r
SP3560-660,1,OSM-n
SP3560-760,1,OSM-r
SP3561-000,1,OSM-n
SP3561-010,4,OSM-r
SP3561-020,1,OSM-r
SP3561-050,3,OSM-nr
SP3561-060,3,OSM-nr
SP3561-120,1,OSM-n
SP3561-206,1,OSM-r
SP3561-270,1,OSM-n
SP3561-352,2,OSM-r
SP3562-150,2,OSM-r
SP3562-420,2,OSM-n
SP3563-301,1,OSM-n
SP3563-470,2,OSM-nr
SP3563-485,1,OSM-n
SP3563-773,1,OSM-r
SP3563-842,1,OSM-r
SP3563-882,2,OSM-r
SP3563-886,1,OSM-r
SP3564-002,1,OSM-n
SP3564-031,6,OSM-nr
SP3564-540,1,OSM-n
SP3564-550,1,OSM-n
SP3565-040,1,OSM-n
SP3565-090,1,OSM-r
SP3565-180,1,OSM-n
SP3565-200,1,OSM-r
SP3565-905,2,OSM-r
SP3566-020,4,OSM-r
SP3566-050,1,OSM-r
SP3566-260,6,OSM-r
SP3566-270,6,OSM-r
SP3566-330,4,OSM-r
SP3566-340,1,OSM-w
SP3566-370,1,OSM-r
SP3566-440,4,OSM-r
SP3566-445,1,OSM-r
SP3566-447,2,OSM-r
SP3566-450,1,OSM-r
SP3566-488,1,OSM-r
SP3566-534,1,OSM-n
SP3566-540,1,OSM-r
SP3566-550,4,OSM-r
SP3566-581,1,OSM-r
SP3566-583,2,OSM-r
SP3566-585,1,OSM-r
SP3566-590,4,OSM-r
SP3566-611,1,OSM-r
SP3566-770,2,OSM-nr
SP3567-181,1,OSM-n
SP3567-330,1,OSM-r
SP3567-350,1,OSM-r
SP3568-120,1,OSM-r
SP3568-200,1,OSM-n
SP3568-240,1,OSM-r
SP3568-260,1,OSM-r
SP3568-340,2,OSM-nr
SP3568-759,1,OSM-r
SP3568-790,2,OSM-nr
SP3569-030,1,OSM-n
SP3569-220,1,OSM-r
SP3570-390,1,OSM-r
SP3570-660,1,OSM-r
SP3570-900,1,OSM-r
SP3571-150,2,OSM-nr
SP3571-291,1,OSM-r
SP3572-215,1,OSM-r
SP3573-059,1,OSM-n
SP3573-140,1,OSM-r
SP3574-033,1,OSM-r
SP3574-040,1,OSM-r
SP3574-160,1,OSM-r
SP3574-240,1,OSM-n
SP3574-250,1,OSM-n
SP3574-280,1,OSM-n
SP3578-000,1,OSM-r
