CRP,idx_confirm,idx_ref
SP2200-000,1,OSM-n
SP2209-535,1,OSM-r
SP2209-550,1,OSM-r
SP2209-904,1,OSM-r
SP2210-070,2,OSM-nr
SP2210-090,1,OSM-r
SP2211-115,1,OSM-r
SP2211-290,1,OSM-r
SP2211-460,1,OSM-n
SP2211-620,4,OSM-n
SP2212-700,2,OSM-nr
SP2214-535,1,OSM-w
SP2215-290,1,OSM-r
SP2216-510,2,OSM-r
SP2216-540,1,OSM-n
SP2216-780,1,OSM-r
SP2220-330,1,OSM-n
SP2220-830,1,OSM-n
SP2221-150,1,OSM-w
SP2223-430,1,OSM-n
SP2223-710,1,OSM-n
SP2224-310,1,OSM-n
SP2224-480,3,OSM-nr
SP2225-000,1,OSM-n
SP2225-011,7,OSM-nr
SP2225-500,1,OSM-n
SP2225-520,1,OSM-n
SP2225-580,1,OSM-n
SP2225-620,1,OSM-n
SP2225-650,1,OSM-n
SP2225-660,1,OSM-n
SP2225-700,2,OSM-n
SP2225-740,2,OSM-n
SP2225-761,1,OSM-n
SP2226-553,1,OSM-r
SP2226-690,1,OSM-r
SP2226-705,1,OSM-r
SP2226-718,1,OSM-n
SP2227-000,1,OSM-n
SP2227-010,4,OSM-r
SP2228-904,6,OSM-r
SP2229-310,1,OSM-w
SP2229-380,1,OSM-r
SP2230-080,1,OSM-r
SP2230-082,1,OSM-r
SP2230-083,2,OSM-r
SP2231-280,1,OSM-r
SP2231-675,1,OSM-n
SP2232-000,1,OSM-r
SP2232-110,2,OSM-nr
SP2232-610,1,OSM-r
SP2232-680,1,OSM-r
SP2232-750,1,OSM-r
SP2232-841,1,OSM-r
SP2233-001,1,OSM-r
SP2234-490,1,OSM-r
SP2235-000,1,OSM-n
SP2235-460,1,OSM-n
SP2236-390,1,OSM-w
SP2236-570,1,OSM-n
SP2236-580,2,OSM-n
SP2236-650,1,OSM-r
SP2237-061,1,OSM-n
SP2237-828,1,OSM-r
SP2238-170,1,OSM-r
SP2239-008,1,OSM-n
SP2239-026,1,OSM-r
SP2239-060,1,OSM-r
SP2239-170,2,OSM-r
SP2239-340,1,OSM-r
SP2239-660,2,OSM-nr
SP2240-170,4,OSM-r
SP2241-040,1,OSM-n
SP2241-220,1,OSM-r
SP2241-260,2,OSM-r
SP2242-000,1,OSM-r
SP2242-431,1,OSM-r
SP2242-800,1,OSM-r
SP2242-840,1,OSM-r
SP2242-902,1,OSM-r
SP2242-905,1,OSM-r
SP2243-081,1,OSM-r
SP2243-260,2,OSM-nr
SP2243-300,1,OSM-n
SP2243-360,1,OSM-n
SP2243-690,2,OSM-n
SP2243-750,2,OSM-r
SP2245-020,1,OSM-n
SP2245-061,1,OSM-r
SP2245-440,2,OSM-r
SP2245-492,1,OSM-r
SP2245-521,1,OSM-n
SP2246-000,1,OSM-r
SP2246-001,1,OSM-r
SP2246-011,1,OSM-r
SP2246-021,1,OSM-r
SP2246-130,1,OSM-r
SP2246-140,1,OSM-r
SP2246-200,1,OSM-r
SP2246-260,1,OSM-r
SP2246-840,1,OSM-r
SP2246-870,1,OSM-r
SP2246-876,5,OSM-nr
SP2247-004,2,OSM-r
SP2247-016,1,OSM-r
SP2315-280,1,OSM-n
