CRP,idx_confirm,idx_ref
SP5010-010,1,OSM-n
SP5010-030,1,OSM-r
SP5010-050,1,OSM-n
SP5010-060,2,OSM-n
SP5010-070,2,OSM-nr
SP5010-080,1,OSM-r
SP5010-100,1,OSM-n
SP5010-902,1,OSM-r
SP5013-100,1,OSM-n
SP5013-110,2,OSM-n
SP5013-230,1,OSM-n
SP5013-310,1,OSM-n
SP5014-000,1,OSM-r
SP5014-020,2,OSM-n
SP5014-050,1,OSM-r
SP5014-060,1,OSM-r
SP5014-220,1,OSM-n
SP5014-330,1,OSM-n
SP5015-000,2,OSM-nr
SP5015-020,1,OSM-r
SP5015-100,1,OSM-r
SP5015-110,1,OSM-r
SP5015-200,5,OSM-nr
SP5015-205,1,OSM-r
SP5015-300,10,OSM-nr
SP5015-400,10,OSM-nr
SP5015-410,1,OSM-n
SP5015-500,1,OSM-r
SP5015-700,2,OSM-r
SP5015-800,1,OSM-n
SP5020-000,1,OSM-r
SP5020-100,1,OSM-n
SP5025-000,4,OSM-r
SP5025-020,8,OSM-nr
SP5025-030,1,OSM-r
SP5025-035,2,OSM-rw
SP5025-043,4,OSM-r
SP5025-045,8,OSM-nr
SP5025-047,1,OSM-r
SP5025-050,1,OSM-r
SP5025-060,1,OSM-n
SP5025-065,1,OSM-n
SP5025-100,5,OSM-nr
SP5025-110,2,OSM-nr
SP5025-120,1,OSM-n
SP5025-300,1,OSM-n
SP5025-310,1,OSM-n
SP5025-355,1,OSM-r
SP5025-450,1,OSM-r
SP5025-500,2,OSM-nr
SP5030-070,2,OSM-nr
SP5030-500,1,OSM-n
SP5030-530,1,OSM-n
SP5035-010,1,OSM-r
SP5035-470,1,OSM-r
SP5035-570,1,OSM-n
SP5035-580,1,OSM-n
SP5035-640,1,OSM-n
SP5040-170,1,OSM-r
SP5040-300,5,OSM-nr
SP5040-330,1,OSM-r
SP5041-010,1,OSM-r
SP5041-011,2,OSM-r
SP5041-020,1,OSM-r
SP5041-218,1,OSM-r
SP5042-067,1,OSM-n
SP5042-068,1,OSM-n
SP5044-545,1,OSM-n
SP5045-000,1,OSM-r
SP5050-006,2,OSM-r
SP5050-462,1,OSM-r
SP5050-500,1,OSM-n
SP5051-000,1,OSM-n
SP5053-610,1,OSM-r
SP5054-000,1,OSM-r
SP5055-060,1,OSM-r
SP5055-500,1,OSM-r
SP5057-441,1,OSM-r
SP5060-035,2,OSM-r
SP5060-130,1,OSM-n
SP5060-250,1,OSM-n
SP5060-280,1,OSM-n
SP5061-000,4,OSM-n
SP5061-001,1,OSM-n
SP5061-005,5,OSM-nr
SP5061-015,1,OSM-r
SP5061-020,1,OSM-r
SP5061-060,1,OSM-r
SP5061-070,4,OSM-n
SP5061-100,1,OSM-n
SP5070-650,1,OSM-r
SP5075-050,1,OSM-n
SP5075-090,1,OSM-r
SP5075-130,1,OSM-r
SP5080-480,1,OSM-r
SP5084-030,1,OSM-r
SP5084-070,1,OSM-r
SP5084-260,1,OSM-r
SP5086-080,1,OSM-r
SP5090-000,10,OSM-nr
SP5090-025,1,OSM-n
SP5090-035,1,OSM-r
SP5090-070,1,OSM-r
SP5090-140,1,OSM-r
SP5090-160,1,OSM-n
SP5090-165,1,OSM-n
SP5090-185,1,OSM-n
SP5090-190,2,OSM-nr
SP5090-305,2,OSM-r
SP5090-500,2,OSM-n
SP5090-900,2,OSM-n
SP5090-901,1,OSM-r
SP5091-020,1,OSM-n
SP5091-380,2,OSM-n
SP5093-340,1,OSM-r
SP5104-000,2,OSM-nr
