CRP,idx_confirm,idx_ref
ZM1000-000,1,OSM-w
ZM1001-000,7,OSM-n
ZM1001-001,10,OSM-n
ZM1001-010,4,OSM-n
ZM1002-000,7,OSM-n
ZM1002-001,8,OSM-n
ZM1002-010,6,OSM-n
ZM1002-020,5,OSM-nr
ZM1003-000,9,OSM-n
ZM1003-001,8,OSM-n
ZM1004-000,8,OSM-n
ZM1004-010,11,OSM-n
ZM1005-000,10,OSM-n
ZM1005-010,6,OSM-nr
ZM1005-020,7,OSM-n
ZM1005-030,5,OSM-n
ZM1006-000,7,OSM-n
ZM1006-001,7,OSM-n
ZM1006-010,6,OSM-n
ZM1006-020,4,OSM-n
ZM1007-000,10,OSM-n
ZM1007-010,5,OSM-n
ZM1007-020,5,OSM-n
ZM1008-000,11,OSM-n
ZM1008-010,6,OSM-n
ZM1009-000,9,OSM-n
ZM1010-000,9,OSM-n
ZM1010-001,7,OSM-n
ZM1010-010,4,OSM-n
ZM1011-000,9,OSM-n
ZM1011-100,7,OSM-n
ZM1012-000,6,OSM-n
ZM1012-001,7,OSM-n
ZM1012-010,7,OSM-n
ZM1012-020,6,OSM-n
ZM1012-030,4,OSM-n
ZM1013-000,8,OSM-n
ZM1013-001,7,OSM-n
ZM1013-010,5,OSM-n
ZM1013-020,5,OSM-n
ZM1014-000,8,OSM-n
ZM1014-001,8,OSM-n
ZM1014-010,4,OSM-n
ZM1014-020,6,OSM-n
ZM1015-000,8,OSM-n
ZM1015-010,5,OSM-n
ZM1015-020,5,OSM-n
ZM1015-030,5,OSM-n
ZM1015-040,6,OSM-n
ZM1015-050,4,OSM-n
ZM1015-060,5,OSM-n
ZM1015-070,10,OSM-n
ZM1015-080,6,OSM-n
ZM1016-000,9,OSM-n
ZM1016-010,4,OSM-n
ZM1016-020,4,OSM-n
ZM1016-030,5,OSM-n
ZM1016-040,5,OSM-n
ZM1016-050,5,OSM-n
ZM1017-000,7,OSM-n
ZM1017-010,7,OSM-n
ZM1017-020,9,OSM-n
ZM1017-911,1,OSM-r
ZM1018-001,4,OSM-n
ZM1018-010,5,OSM-n
ZM1019-970,1,OSM-n
ZM1021-000,12,OSM-n
ZM1021-100,12,OSM-n
ZM1021-200,13,OSM-n
ZM1022-000,8,OSM-n
ZM1022-010,6,OSM-n
ZM1022-020,10,OSM-n
ZM1022-030,6,OSM-n
ZM1022-040,6,OSM-n
ZM1022-050,9,OSM-n
ZM1022-060,8,OSM-n
ZM1022-070,7,OSM-n
ZM1023-000,9,OSM-n
ZM1023-001,12,OSM-n
ZM1023-010,7,OSM-n
ZM1023-020,8,OSM-n
ZM1023-030,5,OSM-n
ZM1023-040,10,OSM-n
ZM1023-050,12,OSM-n
ZM1023-070,1,OSM-n
ZM1024-000,11,OSM-n
ZM1024-100,12,OSM-n
ZM1025-000,11,OSM-n
ZM1025-001,10,OSM-n
ZM1025-010,8,OSM-n
ZM1025-020,7,OSM-n
ZM1026-000,9,OSM-n
ZM1026-001,11,OSM-n
ZM1026-010,7,OSM-n
ZM1027-000,11,OSM-n
ZM1027-001,10,OSM-n
ZM1027-010,8,OSM-n
ZM1027-020,9,OSM-n
ZM1027-030,7,OSM-n
ZM1027-040,9,OSM-n
ZM1028-000,11,OSM-n
ZM1028-010,7,OSM-n
ZM1028-020,6,OSM-n
ZM1029-000,9,OSM-n
ZM1029-001,10,OSM-n
ZM1029-010,6,OSM-nr
ZM1029-900,1,OSM-n
ZM1030-000,10,OSM-n
ZM1030-001,10,OSM-n
ZM1030-010,7,OSM-n
ZM1031-000,12,OSM-n
ZM1031-001,9,OSM-n
ZM1031-010,9,OSM-n
ZM1032-000,10,OSM-n
ZM1032-001,8,OSM-n
ZM1032-010,6,OSM-n
ZM1032-020,6,OSM-n
ZM1032-030,4,OSM-n
ZM1033-000,8,OSM-n
ZM1033-001,7,OSM-n
ZM1033-010,7,OSM-n
ZM1033-020,5,OSM-n
ZM1033-030,5,OSM-n
ZM1033-040,4,OSM-n
ZM1033-050,6,OSM-n
ZM1034-000,6,OSM-n
ZM1034-001,6,OSM-n
ZM1034-010,7,OSM-n
ZM1034-020,8,OSM-n
ZM1034-040,10,OSM-n
ZM1035-000,12,OSM-nr
ZM1035-100,9,OSM-n
ZM1036-000,9,OSM-n
ZM1036-100,6,OSM-n
ZM1037-000,8,OSM-n
ZM1037-001,9,OSM-n
ZM1037-010,6,OSM-n
ZM1037-912,1,OSM-n
ZM1038-000,9,OSM-n
ZM1038-100,10,OSM-n
ZM1039-000,10,OSM-nr
ZM1040-000,10,OSM-n
ZM1041-000,8,OSM-nr
ZM1041-001,8,OSM-n
ZM1042-000,9,OSM-n
ZM1042-001,9,OSM-n
ZM1043-000,9,OSM-n
ZM1043-010,1,OSM-n
ZM1044-000,9,OSM-n
ZM1045-000,9,OSM-n
ZM1045-001,8,OSM-n
ZM1046-000,8,OSM-n
ZM1046-001,6,OSM-n
ZM1046-010,8,OSM-n
ZM1046-020,7,OSM-n
ZM1047-000,9,OSM-n
ZM1047-010,1,OSM-n
ZM1047-020,6,OSM-n
ZM1048-000,9,OSM-n
ZM1048-100,8,OSM-nr
ZM1048-904,1,OSM-n
ZM1048-905,1,OSM-n
ZM1049-000,1,OSM-r
ZM1049-010,1,OSM-n
ZM1050-000,10,OSM-n
ZM1050-020,6,OSM-n
ZM1050-030,8,OSM-n
ZM1050-060,7,OSM-nr
ZM1050-070,10,OSM-n
ZM1101-000,7,OSM-n
ZM1101-020,4,OSM-n
ZM1102-000,4,OSM-n
ZM1102-010,6,OSM-n
ZM1103-010,8,OSM-n
ZM1103-020,4,OSM-n
ZM1103-200,4,OSM-n
ZM1103-201,2,OSM-n
ZM1104-000,11,OSM-nr
ZM1104-001,12,OSM-nw
ZM1104-010,9,OSM-n
ZM1105-000,13,OSM-nrw
ZM1105-010,5,OSM-nw
ZM1105-020,2,OSM-n
ZM1105-030,2,OSM-n
ZM1105-040,7,OSM-n
ZM1106-000,6,OSM-n
ZM1106-010,5,OSM-n
ZM1106-020,7,OSM-n
ZM1106-050,7,OSM-n
ZM1106-080,6,OSM-n
ZM1106-090,7,OSM-n
ZM1106-100,4,OSM-n
ZM1106-110,4,OSM-n
ZM1106-120,4,OSM-n
ZM1107-000,13,OSM-nrw
ZM1107-020,4,OSM-n
ZM1107-030,7,OSM-n
ZM1107-040,6,OSM-n
ZM1108-000,5,OSM-n
ZM1109-000,8,OSM-nr
ZM1109-010,9,OSM-nw
ZM1109-020,7,OSM-n
ZM1109-030,9,OSM-nr
ZM1109-080,5,OSM-n
ZM1120-000,9,OSM-nw
ZM1120-001,1,OSM-n
ZM1120-010,2,OSM-nr
ZM1121-000,10,OSM-nw
ZM1122-000,4,OSM-n
ZM1123-001,2,OSM-nr
ZM1123-050,4,OSM-n
ZM1124-000,5,OSM-n
ZM1124-010,6,OSM-n
ZM1124-020,4,OSM-n
ZM1124-060,2,OSM-nr
ZM1125-000,5,OSM-n
ZM1125-001,9,OSM-nw
ZM1126-000,6,OSM-n
ZM1126-001,4,OSM-n
ZM1126-010,5,OSM-n
ZM1126-020,6,OSM-n
ZM1127-010,13,OSM-nrw
ZM1128-000,1,OSM-n
ZM1128-020,10,OSM-nw
ZM1128-080,4,OSM-n
ZM1129-000,1,OSM-n
ZM1130-010,6,OSM-nr
ZM1131-000,7,OSM-n
ZM1131-010,4,OSM-n
ZM1132-000,1,OSM-n
ZM1133-000,2,OSM-n
ZM1133-010,1,OSM-r
ZM1133-020,2,OSM-r
ZM1133-040,1,OSM-n
ZM1134-000,2,OSM-n
ZM1135-000,1,OSM-r
ZM1136-000,10,OSM-n
ZM1137-000,1,OSM-r
ZM1137-010,8,OSM-nr
ZM1138-000,4,OSM-n
ZM1138-010,5,OSM-n
ZM1138-020,9,OSM-nr
ZM1138-040,8,OSM-n
ZM1139-000,1,OSM-n
ZM1139-001,3,OSM-nr
ZM1139-002,3,OSM-nr
ZM1139-003,3,OSM-nr
ZM1139-060,1,OSM-r
ZM1140-001,1,OSM-r
ZM1140-070,4,OSM-r
ZM1141-000,1,OSM-n
ZM1141-030,1,OSM-r
ZM1141-060,1,OSM-r
ZM1142-300,5,OSM-nr
ZM1142-902,2,OSM-nr
ZM1150-000,2,OSM-n
ZM1150-010,3,OSM-nr
ZM1150-011,1,OSM-r
ZM1151-000,7,OSM-nr
ZM1151-010,1,OSM-r
ZM1152-000,3,OSM-nr
ZM1153-000,9,OSM-nr
ZM1153-010,1,OSM-n
ZM1154-000,5,OSM-rw
ZM1154-010,5,OSM-nr
ZM1155-000,3,OSM-nr
ZM1156-001,4,OSM-r
ZM1201-000,1,OSM-n
ZM1201-020,3,OSM-nr
ZM1201-030,5,OSM-nr
ZM1201-050,2,OSM-r
ZM1201-060,6,OSM-n
ZM1202-000,1,OSM-r
ZM1202-001,1,OSM-r
ZM1202-002,8,OSM-nr
ZM1202-003,1,OSM-n
ZM1202-010,3,OSM-nw
ZM1202-900,1,OSM-r
ZM1203-000,4,OSM-n
ZM1203-001,6,OSM-n
ZM1203-002,6,OSM-nrw
ZM1203-003,5,OSM-n
ZM1205-000,7,OSM-n
ZM1205-001,1,OSM-n
ZM1206-000,8,OSM-nr
ZM1206-010,1,OSM-r
ZM1207-000,10,OSM-n
ZM1207-001,10,OSM-n
ZM1208-000,1,OSM-n
ZM1208-001,6,OSM-n
ZM1208-011,9,OSM-n
ZM1208-012,7,OSM-n
ZM1208-030,1,OSM-n
ZM1209-000,3,OSM-nr
ZM1209-001,7,OSM-n
ZM1209-002,8,OSM-n
ZM1209-003,8,OSM-n
ZM1209-010,6,OSM-n
ZM1210-000,7,OSM-n
ZM1210-002,4,OSM-n
ZM1210-003,5,OSM-n
ZM1210-010,7,OSM-n
ZM1211-100,9,OSM-nr
ZM1212-000,1,OSM-n
ZM1214-000,10,OSM-nr
ZM1214-100,8,OSM-n
ZM1215-010,7,OSM-nr
ZM1215-020,1,OSM-r
ZM1216-000,4,OSM-n
ZM1216-001,1,OSM-r
ZM1217-000,1,OSM-r
ZM1218-012,2,OSM-nr
ZM1218-020,1,OSM-r
ZM1219-000,7,OSM-n
ZM1219-001,8,OSM-n
ZM1219-010,9,OSM-n
ZM1219-011,10,OSM-n
ZM1219-903,1,OSM-n
ZM1220-000,12,OSM-n
ZM1220-010,15,OSM-nr
ZM1220-020,7,OSM-n
ZM1220-030,6,OSM-n
ZM1221-000,13,OSM-nr
ZM1221-001,9,OSM-n
ZM1221-010,11,OSM-n
ZM1221-020,14,OSM-nr
ZM1221-030,6,OSM-n
ZM1221-040,6,OSM-n
ZM1222-000,11,OSM-n
ZM1222-001,10,OSM-n
ZM1222-010,9,OSM-n
ZM1222-020,9,OSM-n
ZM1223-000,10,OSM-n
ZM1223-001,11,OSM-nr
ZM1223-010,11,OSM-n
ZM1223-011,10,OSM-nr
ZM1223-970,1,OSM-n
ZM1224-000,7,OSM-n
ZM1224-001,8,OSM-n
ZM1224-010,5,OSM-n
ZM1224-021,5,OSM-n
ZM1224-030,1,OSM-n
ZM1224-040,1,OSM-n
ZM1224-050,6,OSM-n
ZM1225-000,6,OSM-n
ZM1225-001,7,OSM-n
ZM1225-010,6,OSM-n
ZM1225-020,8,OSM-n
ZM1225-030,9,OSM-n
ZM1225-040,5,OSM-n
ZM1225-060,5,OSM-n
ZM1225-070,2,OSM-n
ZM1226-001,1,OSM-n
ZM1226-010,4,OSM-n
ZM1226-030,1,OSM-r
ZM1227-000,7,OSM-nr
ZM1227-100,1,OSM-r
ZM1227-200,9,OSM-n
ZM1228-000,2,OSM-r
ZM1228-100,1,OSM-r
ZM1228-200,8,OSM-n
ZM1229-010,2,OSM-r
ZM1230-000,1,OSM-r
ZM1230-010,1,OSM-r
ZM1232-000,2,OSM-r
ZM1232-010,1,OSM-r
ZM1234-001,6,OSM-nr
ZM1234-010,1,OSM-n
ZM1235-000,5,OSM-nw
ZM1238-010,9,OSM-nr
ZM1239-020,1,OSM-n
ZM1239-030,7,OSM-n
ZM1239-050,9,OSM-n
ZM1240-000,1,OSM-r
ZM1240-001,1,OSM-r
ZM1243-001,7,OSM-nr
ZM1243-010,4,OSM-n
ZM1243-020,5,OSM-n
ZM1244-000,2,OSM-n
ZM1244-001,6,OSM-nr
ZM1244-011,7,OSM-n
ZM1244-020,1,OSM-n
ZM1244-030,2,OSM-n
ZM1245-000,1,OSM-n
ZM1246-000,1,OSM-r
ZM1246-020,1,OSM-r
ZM1246-050,1,OSM-n
ZM1246-902,1,OSM-r
ZM1246-904,1,OSM-r
ZM1252-120,2,OSM-nr
ZM1254-000,1,OSM-n
ZM1255-000,4,OSM-n
ZM1257-000,2,OSM-r
ZM1259-010,1,OSM-n
ZM1301-000,12,OSM-n
ZM1301-100,16,OSM-nr
ZM1302-000,9,OSM-nr
ZM1302-001,12,OSM-n
ZM1302-010,8,OSM-n
ZM1303-000,5,OSM-n
ZM1303-001,5,OSM-n
ZM1303-010,9,OSM-n
ZM1303-020,8,OSM-n
ZM1303-030,6,OSM-n
ZM1303-040,8,OSM-nr
ZM1303-050,9,OSM-nr
ZM1303-060,7,OSM-n
ZM1304-000,11,OSM-n
ZM1304-001,14,OSM-n
ZM1304-010,6,OSM-n
ZM1304-902,1,OSM-n
ZM1305-000,11,OSM-nr
ZM1305-100,14,OSM-n
ZM1306-000,1,OSM-n
ZM1306-001,5,OSM-n
ZM1306-010,3,OSM-nr
ZM1306-040,7,OSM-n
ZM1307-000,10,OSM-n
ZM1307-001,6,OSM-nr
ZM1307-002,10,OSM-nr
ZM1307-003,6,OSM-n
ZM1307-011,6,OSM-n
ZM1307-012,8,OSM-n
ZM1308-050,2,OSM-r
ZM1309-000,9,OSM-nr
ZM1309-001,6,OSM-n
ZM1309-010,9,OSM-n
ZM1309-011,8,OSM-n
ZM1309-020,10,OSM-n
ZM1309-030,12,OSM-nr
ZM1309-040,5,OSM-n
ZM1310-000,9,OSM-nr
ZM1310-100,11,OSM-nr
ZM1310-200,9,OSM-nr
