CRP,idx_confirm,idx_ref
SP8010-002,1,OSM-r
SP8015-335,1,OSM-n
SP8030-250,1,OSM-r
SP8035-001,1,OSM-r
SP8044-459,1,OSM-r
SP8044-500,1,OSM-r
SP8044-560,1,OSM-n
SP8045-040,1,OSM-r
SP8045-110,1,OSM-r
SP8046-460,1,OSM-n
SP8047-603,1,OSM-r
SP8047-620,1,OSM-r
SP8051-220,1,OSM-r
SP8052-604,1,OSM-r
SP8052-780,1,OSM-n
SP8053-000,2,OSM-n
SP8053-110,1,OSM-n
SP8053-381,1,OSM-w
SP8057-030,1,OSM-r
SP8060-060,1,OSM-n
SP8071-308,1,OSM-n
SP8077-391,1,OSM-n
SP8080-660,1,OSM-r
SP8080-691,1,OSM-n
SP8081-000,1,OSM-r
SP8081-040,2,OSM-r
SP8085-852,1,OSM-n
SP8090-505,1,OSM-n
SP8103-000,1,OSM-n
SP8103-240,1,OSM-n
SP8105-271,1,OSM-n
SP8108-320,1,OSM-n
