CRP,idx_confirm,idx_ref
SP3170-003,1,OSM-r
SP3170-030,1,OSM-n
SP3170-330,1,OSM-w
SP3170-430,1,OSM-w
SP3170-600,1,OSM-w
SP3171-120,1,OSM-r
SP3172-455,1,OSM-n
SP3172-560,2,OSM-rw
SP3172-701,1,OSM-w
SP3173-221,1,OSM-r
SP3173-322,1,OSM-r
SP3173-450,1,OSM-r
SP3175-483,1,OSM-r
SP3175-646,1,OSM-w
SP3177-310,1,OSM-n
SP3178-574,1,OSM-r
SP3179-180,1,OSM-r
SP3180-510,1,OSM-n
SP3180-661,1,OSM-n
SP3181-341,1,OSM-r
SP3181-521,1,OSM-r
SP3181-656,1,OSM-r
SP3181-670,5,OSM-n
SP3181-740,1,OSM-r
SP3181-903,1,OSM-r
SP3181-905,1,OSM-r
