CRP,idx_confirm,idx_ref
ZM7152-425,1,OSM-r
ZM8260-557,1,OSM-r
ZM8610-005,1,OSM-r
ZM8610-055,1,OSM-r
ZM8610-100,1,OSM-w
ZM8613-035,1,OSM-r
ZM8615-000,5,OSM-nw
ZM8616-020,1,OSM-n
ZM8616-030,1,OSM-n
ZM8616-040,1,OSM-w
ZM8616-050,6,OSM-nrw
ZM8620-030,1,OSM-r
ZM8620-050,1,OSM-r
ZM8620-080,1,OSM-r
ZM8620-690,1,OSM-n
ZM8625-560,1,OSM-r
ZM8630-000,2,OSM-nr
ZM8635-165,1,OSM-r
ZM8635-600,1,OSM-r
ZM8640-200,1,OSM-r
ZM8655-365,1,OSM-n
ZM8663-020,1,OSM-r
ZM8663-192,1,OSM-r
ZM8664-015,1,OSM-n
ZM8664-660,2,OSM-r
ZM8665-000,2,OSM-nr
ZM8665-405,1,OSM-n
ZM8673-000,5,OSM-nr
ZM8673-060,1,OSM-r
ZM8673-115,4,OSM-n
ZM8673-180,1,OSM-n
ZM8673-270,1,OSM-r
ZM8674-000,4,OSM-n
ZM8674-002,1,OSM-n
ZM8674-003,1,OSM-n
ZM8674-010,4,OSM-n
ZM8674-011,1,OSM-n
ZM8674-040,1,OSM-r
ZM8674-230,2,OSM-n
ZM8675-005,1,OSM-r
ZM8675-130,1,OSM-n
ZM8675-160,1,OSM-r
ZM8675-170,1,OSM-n
ZM8675-421,1,OSM-r
ZM8675-460,1,OSM-r
ZM8683-320,1,OSM-r
ZM8685-000,4,OSM-r
ZM8690-200,1,OSM-n
ZM8693-400,1,OSM-r
ZM8695-010,1,OSM-r
ZM8695-175,1,OSM-r
ZM8696-400,1,OSM-r
