CRP,idx_confirm,idx_ref
ZM6750-300,1,OSM-r
ZM6754-010,1,OSM-r
ZM6754-190,3,OSM-nr
ZM6755-020,2,OSM-nr
ZM6755-390,1,OSM-r
ZM6757-030,1,OSM-r
ZM6757-140,1,OSM-r
ZM6760-900,1,OSM-r
ZM6763-000,1,OSM-r
ZM6763-015,1,OSM-r
ZM6763-270,1,OSM-r
ZM6764-160,1,OSM-r
ZM6764-290,1,OSM-r
ZM6764-340,1,OSM-r
ZM6764-390,1,OSM-r
ZM6765-000,2,OSM-nr
ZM6765-020,1,OSM-r
ZM6765-100,1,OSM-r
ZM6766-361,1,OSM-r
ZM6767-020,1,OSM-r
ZM6767-170,1,OSM-r
ZM6767-220,3,OSM-nr
ZM6767-230,1,OSM-r
ZM6768-000,1,OSM-r
ZM6768-200,2,OSM-nr
ZM6773-090,1,OSM-r
ZM6775-001,1,OSM-r
ZM6775-190,1,OSM-r
ZM6775-270,1,OSM-r
ZM6775-460,1,OSM-r
ZM6780-220,1,OSM-r
ZM6783-000,2,OSM-r
ZM6783-050,1,OSM-r
ZM6783-230,1,OSM-r
ZM6783-900,1,OSM-r
ZM6785-020,1,OSM-r
ZM6785-040,1,OSM-r
ZM6786-070,1,OSM-r
ZM6786-510,4,OSM-r
ZM6787-320,1,OSM-r
ZM6787-360,1,OSM-r
ZM6787-440,1,OSM-n
ZM6790-120,2,OSM-r
ZM6790-170,1,OSM-r
ZM6790-240,2,OSM-nr
ZM6793-200,1,OSM-r
