CRP,idx_confirm,idx_ref
SP2010-000,1,OSM-r
SP2010-020,1,OSM-r
SP2010-100,1,OSM-r
SP2010-130,1,OSM-r
SP2010-160,2,OSM-nr
SP2010-490,1,OSM-n
SP2020-030,1,OSM-r
SP2020-040,1,OSM-r
SP2020-070,1,OSM-r
SP2020-350,1,OSM-r
SP2030-000,1,OSM-r
SP2030-180,3,OSM-nr
SP2030-600,1,OSM-r
SP2031-001,4,OSM-r
SP2031-230,2,OSM-r
SP2031-580,1,OSM-r
SP2040-000,3,OSM-r
SP2040-170,1,OSM-r
SP2040-805,2,OSM-r
SP2040-900,1,OSM-r
SP2041-010,1,OSM-r
SP2042-320,2,OSM-n
SP2043-000,2,OSM-r
SP2045-000,1,OSM-r
SP2050-760,1,OSM-r
SP2052-230,2,OSM-n
SP2060-290,1,OSM-r
SP2060-400,4,OSM-r
SP2061-000,1,OSM-r
SP2061-620,1,OSM-r
SP2062-130,1,OSM-r
SP2062-400,1,OSM-n
SP2070-000,1,OSM-r
SP2070-350,1,OSM-r
SP2072-000,1,OSM-r
SP2080-480,1,OSM-r
SP2082-490,1,OSM-r
SP2090-360,1,OSM-n
SP2091-440,1,OSM-r
SP2100-000,1,OSM-r
SP2131-001,1,OSM-r
